pair,subject,window_ms,accuracy,n_test
WAA/SAA,1,800,56.666666666666664,90
WAA/SAA,1,1500,71.11111111111111,90
WAA/SAA,1,3000,71.11111111111111,90
WAA/SAA,1,4000,65.55555555555556,90
WAA/SAA,2,800,75.0,80
WAA/SAA,2,1500,70.0,80
WAA/SAA,2,3000,71.25,80
WAA/SAA,2,4000,71.25,80
WAA/SAA,3,800,65.0,80
WAA/SAA,3,1500,80.0,80
WAA/SAA,3,3000,81.25,80
WAA/SAA,3,4000,78.75,80
WAA/SAA,4,800,86.25,80
WAA/SAA,4,1500,87.5,80
WAA/SAA,4,3000,87.5,80
WAA/SAA,4,4000,92.5,80
WAA/SAA,5,800,72.5,80
WAA/SAA,5,1500,82.5,80
WAA/SAA,5,3000,81.25,80
WAA/SAA,5,4000,81.25,80
WAA/SAA,6,800,65.0,80
WAA/SAA,6,1500,60.0,80
WAA/SAA,6,3000,71.25,80
WAA/SAA,6,4000,67.5,80
WAA/SAA,7,800,72.5,80
WAA/SAA,7,1500,88.75,80
WAA/SAA,7,3000,87.5,80
WAA/SAA,7,4000,92.5,80
WAA/SAA,8,800,52.5,80
WAA/SAA,8,1500,60.0,80
WAA/SAA,8,3000,58.75,80
WAA/SAA,8,4000,70.0,80
WAA/SAA,9,800,62.5,80
WAA/SAA,9,1500,66.25,80
WAA/SAA,9,3000,63.74999999999999,80
WAA/SAA,9,4000,67.5,80
WAA/SAA,10,800,61.25000000000001,80
WAA/SAA,10,1500,55.00000000000001,80
WAA/SAA,10,3000,62.5,80
WAA/SAA,10,4000,68.75,80
WAA/SAA,11,800,61.25000000000001,80
WAA/SAA,11,1500,90.0,80
WAA/SAA,11,3000,86.25,80
WAA/SAA,11,4000,85.0,80
WAA/SAA,12,800,73.75,80
WAA/SAA,12,1500,62.5,80
WAA/SAA,12,3000,70.0,80
WAA/SAA,12,4000,63.74999999999999,80
WAA/SAA,13,800,53.75,80
WAA/SAA,13,1500,73.75,80
WAA/SAA,13,3000,82.5,80
WAA/SAA,13,4000,80.0,80
WAA/SAA,14,800,61.25000000000001,80
WAA/SAA,14,1500,67.5,80
WAA/SAA,14,3000,63.74999999999999,80
WAA/SAA,14,4000,62.5,80
WAA/SAA,15,800,63.74999999999999,80
WAA/SAA,15,1500,76.25,80
WAA/SAA,15,3000,68.75,80
WAA/SAA,15,4000,78.75,80
WAA/SAA,16,800,47.5,80
WAA/SAA,16,1500,42.5,80
WAA/SAA,16,3000,40.0,80
WAA/SAA,16,4000,52.5,80
WAA/SAA,17,800,48.75,80
WAA/SAA,17,1500,70.0,80
WAA/SAA,17,3000,73.75,80
WAA/SAA,17,4000,58.75,80
WAA/SAA,18,800,76.25,80
WAA/SAA,18,1500,91.25,80
WAA/SAA,18,3000,87.5,80
WAA/SAA,18,4000,76.25,80
