pair,mode,subject,window_ms,accuracy,n_test
HOC/SPS,cwt,1,4000,71.11111111111111,90
HOC/SPS,cwt,2,4000,43.75,80
HOC/SPS,cwt,3,4000,80.0,80
HOC/SPS,cwt,4,4000,90.0,80
HOC/SPS,cwt,5,4000,67.5,80
HOC/SPS,cwt,6,4000,62.5,80
HOC/SPS,cwt,7,4000,68.75,80
HOC/SPS,cwt,8,4000,56.25,80
HOC/SPS,cwt,9,4000,68.75,80
HOC/SPS,cwt,10,4000,87.5,80
HOC/SPS,cwt,11,4000,50.0,80
HOC/SPS,cwt,12,4000,50.0,80
HOC/SPS,cwt,13,4000,51.24999999999999,80
HOC/SPS,cwt,14,4000,56.25,80
HOC/SPS,cwt,15,4000,37.5,80
HOC/SPS,cwt,16,4000,70.0,80
HOC/SPS,cwt,17,4000,78.75,80
HOC/SPS,cwt,18,4000,72.5,80
