pair,subject,window_ms,accuracy,n_test
EPS/SAA,1,800,54.44444444444444,90
EPS/SAA,1,1500,57.77777777777777,90
EPS/SAA,1,3000,61.111111111111114,90
EPS/SAA,1,4000,55.55555555555556,90
EPS/SAA,2,800,50.0,80
EPS/SAA,2,1500,51.24999999999999,80
EPS/SAA,2,3000,52.5,80
EPS/SAA,2,4000,42.5,80
EPS/SAA,3,800,81.25,80
EPS/SAA,3,1500,87.5,80
EPS/SAA,3,3000,72.5,80
EPS/SAA,3,4000,70.0,80
EPS/SAA,4,800,61.25000000000001,80
EPS/SAA,4,1500,63.74999999999999,80
EPS/SAA,4,3000,61.25000000000001,80
EPS/SAA,4,4000,60.0,80
EPS/SAA,5,800,65.0,80
EPS/SAA,5,1500,62.5,80
EPS/SAA,5,3000,48.75,80
EPS/SAA,5,4000,53.75,80
EPS/SAA,6,800,58.75,80
EPS/SAA,6,1500,60.0,80
EPS/SAA,6,3000,67.5,80
EPS/SAA,6,4000,66.25,80
EPS/SAA,7,800,56.25,80
EPS/SAA,7,1500,65.0,80
EPS/SAA,7,3000,62.5,80
EPS/SAA,7,4000,52.5,80
EPS/SAA,8,800,48.75,80
EPS/SAA,8,1500,47.5,80
EPS/SAA,8,3000,62.5,80
EPS/SAA,8,4000,52.5,80
EPS/SAA,9,800,61.25000000000001,80
EPS/SAA,9,1500,48.75,80
EPS/SAA,9,3000,47.5,80
EPS/SAA,9,4000,48.75,80
EPS/SAA,10,800,55.00000000000001,80
EPS/SAA,10,1500,56.25,80
EPS/SAA,10,3000,47.5,80
EPS/SAA,10,4000,52.5,80
EPS/SAA,11,800,47.5,80
EPS/SAA,11,1500,53.75,80
EPS/SAA,11,3000,50.0,80
EPS/SAA,11,4000,53.75,80
EPS/SAA,12,800,48.75,80
EPS/SAA,12,1500,53.75,80
EPS/SAA,12,3000,58.75,80
EPS/SAA,12,4000,48.75,80
EPS/SAA,13,800,56.25,80
EPS/SAA,13,1500,41.25,80
EPS/SAA,13,3000,50.0,80
EPS/SAA,13,4000,50.0,80
EPS/SAA,14,800,53.75,80
EPS/SAA,14,1500,42.5,80
EPS/SAA,14,3000,50.0,80
EPS/SAA,14,4000,43.75,80
EPS/SAA,15,800,57.49999999999999,80
EPS/SAA,15,1500,51.24999999999999,80
EPS/SAA,15,3000,52.5,80
EPS/SAA,15,4000,56.25,80
EPS/SAA,16,800,48.75,80
EPS/SAA,16,1500,53.75,80
EPS/SAA,16,3000,61.25000000000001,80
EPS/SAA,16,4000,60.0,80
EPS/SAA,17,800,61.25000000000001,80
EPS/SAA,17,1500,66.25,80
EPS/SAA,17,3000,46.25,80
EPS/SAA,17,4000,66.25,80
EPS/SAA,18,800,65.0,80
EPS/SAA,18,1500,70.0,80
EPS/SAA,18,3000,61.25000000000001,80
EPS/SAA,18,4000,68.75,80
