pair,subject,window_ms,accuracy,n_test
WAA/EFE,1,800,55.55555555555556,90
WAA/EFE,1,1500,63.33333333333333,90
WAA/EFE,1,3000,62.22222222222222,90
WAA/EFE,1,4000,62.22222222222222,90
WAA/EFE,2,800,62.5,80
WAA/EFE,2,1500,50.0,80
WAA/EFE,2,3000,51.24999999999999,80
WAA/EFE,2,4000,50.0,80
WAA/EFE,3,800,46.25,80
WAA/EFE,3,1500,62.5,80
WAA/EFE,3,3000,57.49999999999999,80
WAA/EFE,3,4000,51.24999999999999,80
WAA/EFE,4,800,63.74999999999999,80
WAA/EFE,4,1500,58.75,80
WAA/EFE,4,3000,77.5,80
WAA/EFE,4,4000,67.5,80
WAA/EFE,5,800,48.75,80
WAA/EFE,5,1500,46.25,80
WAA/EFE,5,3000,47.5,80
WAA/EFE,5,4000,56.25,80
WAA/EFE,6,800,53.75,80
WAA/EFE,6,1500,55.00000000000001,80
WAA/EFE,6,3000,55.00000000000001,80
WAA/EFE,6,4000,62.5,80
WAA/EFE,7,800,65.0,80
WAA/EFE,7,1500,61.25000000000001,80
WAA/EFE,7,3000,62.5,80
WAA/EFE,7,4000,53.75,80
WAA/EFE,8,800,52.5,80
WAA/EFE,8,1500,52.5,80
WAA/EFE,8,3000,47.5,80
WAA/EFE,8,4000,55.00000000000001,80
WAA/EFE,9,800,55.00000000000001,80
WAA/EFE,9,1500,46.25,80
WAA/EFE,9,3000,50.0,80
WAA/EFE,9,4000,57.49999999999999,80
WAA/EFE,10,800,52.5,80
WAA/EFE,10,1500,42.5,80
WAA/EFE,10,3000,48.75,80
WAA/EFE,10,4000,48.75,80
WAA/EFE,11,800,53.75,80
WAA/EFE,11,1500,53.75,80
WAA/EFE,11,3000,51.24999999999999,80
WAA/EFE,11,4000,53.75,80
WAA/EFE,12,800,46.25,80
WAA/EFE,12,1500,50.0,80
WAA/EFE,12,3000,58.75,80
WAA/EFE,12,4000,53.75,80
WAA/EFE,13,800,60.0,80
WAA/EFE,13,1500,55.00000000000001,80
WAA/EFE,13,3000,63.74999999999999,80
WAA/EFE,13,4000,51.24999999999999,80
WAA/EFE,14,800,63.74999999999999,80
WAA/EFE,14,1500,55.00000000000001,80
WAA/EFE,14,3000,61.25000000000001,80
WAA/EFE,14,4000,62.5,80
WAA/EFE,15,800,58.75,80
WAA/EFE,15,1500,50.0,80
WAA/EFE,15,3000,53.75,80
WAA/EFE,15,4000,51.24999999999999,80
WAA/EFE,16,800,50.0,80
WAA/EFE,16,1500,51.24999999999999,80
WAA/EFE,16,3000,55.00000000000001,80
WAA/EFE,16,4000,56.25,80
WAA/EFE,17,800,52.5,80
WAA/EFE,17,1500,58.75,80
WAA/EFE,17,3000,55.00000000000001,80
WAA/EFE,17,4000,50.0,80
WAA/EFE,18,800,62.5,80
WAA/EFE,18,1500,57.49999999999999,80
WAA/EFE,18,3000,56.25,80
WAA/EFE,18,4000,51.24999999999999,80
