pair,mode,subject,window_ms,accuracy,n_test
EFE/SPS,cwt,1,4000,56.666666666666664,90
EFE/SPS,cwt,2,4000,53.75,80
EFE/SPS,cwt,3,4000,50.0,80
EFE/SPS,cwt,4,4000,82.5,80
EFE/SPS,cwt,5,4000,63.74999999999999,80
EFE/SPS,cwt,6,4000,50.0,80
EFE/SPS,cwt,7,4000,63.74999999999999,80
EFE/SPS,cwt,8,4000,50.0,80
EFE/SPS,cwt,9,4000,67.5,80
EFE/SPS,cwt,10,4000,75.0,80
EFE/SPS,cwt,11,4000,78.75,80
EFE/SPS,cwt,12,4000,63.74999999999999,80
EFE/SPS,cwt,13,4000,58.75,80
EFE/SPS,cwt,14,4000,47.5,80
EFE/SPS,cwt,15,4000,81.25,80
EFE/SPS,cwt,16,4000,52.5,80
EFE/SPS,cwt,17,4000,53.75,80
EFE/SPS,cwt,18,4000,75.0,80
