pair,mode,subject,window_ms,fold,accuracy,val_accuracy,n_test
WAA/SAA,fbc,1,4000,1,72.22222222222223,61.111111111111114,18
WAA/SAA,fbc,1,4000,2,72.22222222222223,66.66666666666667,18
WAA/SAA,fbc,1,4000,3,33.333333333333336,61.111111111111114,18
WAA/SAA,fbc,1,4000,4,55.55555555555556,77.77777777777777,18
WAA/SAA,fbc,1,4000,5,61.111111111111114,66.66666666666667,18
WAA/SAA,fbc,2,4000,1,43.75,62.5,16
WAA/SAA,fbc,2,4000,2,43.75,56.25,16
WAA/SAA,fbc,2,4000,3,50.0,56.25,16
WAA/SAA,fbc,2,4000,4,56.25,50.0,16
WAA/SAA,fbc,2,4000,5,37.5,50.0,16
WAA/SAA,fbc,3,4000,1,93.75,100.0,16
WAA/SAA,fbc,3,4000,2,93.75,87.5,16
WAA/SAA,fbc,3,4000,3,87.5,93.75,16
WAA/SAA,fbc,3,4000,4,87.5,81.25,16
WAA/SAA,fbc,3,4000,5,68.75,100.0,16
WAA/SAA,fbc,4,4000,1,93.75,87.5,16
WAA/SAA,fbc,4,4000,2,93.75,68.75,16
WAA/SAA,fbc,4,4000,3,87.5,81.25,16
WAA/SAA,fbc,4,4000,4,93.75,81.25,16
WAA/SAA,fbc,4,4000,5,75.0,100.0,16
WAA/SAA,fbc,5,4000,1,56.25,68.75,16
WAA/SAA,fbc,5,4000,2,75.0,68.75,16
WAA/SAA,fbc,5,4000,3,43.75,62.5,16
WAA/SAA,fbc,5,4000,4,43.75,62.5,16
WAA/SAA,fbc,5,4000,5,62.5,68.75,16
WAA/SAA,fbc,6,4000,1,68.75,81.25,16
WAA/SAA,fbc,6,4000,2,68.75,68.75,16
WAA/SAA,fbc,6,4000,3,56.25,62.5,16
WAA/SAA,fbc,6,4000,4,62.5,87.5,16
WAA/SAA,fbc,6,4000,5,56.25,75.0,16
WAA/SAA,fbc,7,4000,1,87.5,87.5,16
WAA/SAA,fbc,7,4000,2,68.75,81.25,16
WAA/SAA,fbc,7,4000,3,75.0,81.25,16
WAA/SAA,fbc,7,4000,4,50.0,68.75,16
WAA/SAA,fbc,7,4000,5,68.75,75.0,16
WAA/SAA,fbc,8,4000,1,62.5,56.25,16
WAA/SAA,fbc,8,4000,2,56.25,56.25,16
WAA/SAA,fbc,8,4000,3,37.5,50.0,16
WAA/SAA,fbc,8,4000,4,43.75,56.25,16
WAA/SAA,fbc,8,4000,5,37.5,50.0,16
WAA/SAA,fbc,9,4000,1,81.25,68.75,16
WAA/SAA,fbc,9,4000,2,56.25,68.75,16
WAA/SAA,fbc,9,4000,3,43.75,68.75,16
WAA/SAA,fbc,9,4000,4,68.75,56.25,16
WAA/SAA,fbc,9,4000,5,68.75,75.0,16
WAA/SAA,fbc,10,4000,1,50.0,56.25,16
WAA/SAA,fbc,10,4000,2,62.5,56.25,16
WAA/SAA,fbc,10,4000,3,43.75,56.25,16
WAA/SAA,fbc,10,4000,4,56.25,56.25,16
WAA/SAA,fbc,10,4000,5,37.5,50.0,16
WAA/SAA,fbc,11,4000,1,50.0,68.75,16
WAA/SAA,fbc,11,4000,2,56.25,75.0,16
WAA/SAA,fbc,11,4000,3,50.0,62.5,16
WAA/SAA,fbc,11,4000,4,62.5,68.75,16
WAA/SAA,fbc,11,4000,5,56.25,56.25,16
WAA/SAA,fbc,12,4000,1,62.5,62.5,16
WAA/SAA,fbc,12,4000,2,56.25,56.25,16
WAA/SAA,fbc,12,4000,3,50.0,56.25,16
WAA/SAA,fbc,12,4000,4,43.75,56.25,16
WAA/SAA,fbc,12,4000,5,50.0,56.25,16
WAA/SAA,fbc,13,4000,1,50.0,75.0,16
WAA/SAA,fbc,13,4000,2,62.5,62.5,16
WAA/SAA,fbc,13,4000,3,43.75,62.5,16
WAA/SAA,fbc,13,4000,4,56.25,81.25,16
WAA/SAA,fbc,13,4000,5,93.75,56.25,16
WAA/SAA,fbc,14,4000,1,62.5,75.0,16
WAA/SAA,fbc,14,4000,2,75.0,50.0,16
WAA/SAA,fbc,14,4000,3,62.5,68.75,16
WAA/SAA,fbc,14,4000,4,56.25,75.0,16
WAA/SAA,fbc,14,4000,5,43.75,75.0,16
WAA/SAA,fbc,15,4000,1,31.25,56.25,16
WAA/SAA,fbc,15,4000,2,50.0,50.0,16
WAA/SAA,fbc,15,4000,3,37.5,62.5,16
WAA/SAA,fbc,15,4000,4,56.25,56.25,16
WAA/SAA,fbc,15,4000,5,43.75,68.75,16
WAA/SAA,fbc,16,4000,1,62.5,62.5,16
WAA/SAA,fbc,16,4000,2,43.75,56.25,16
WAA/SAA,fbc,16,4000,3,56.25,62.5,16
WAA/SAA,fbc,16,4000,4,75.0,62.5,16
WAA/SAA,fbc,16,4000,5,50.0,56.25,16
WAA/SAA,fbc,17,4000,1,56.25,62.5,16
WAA/SAA,fbc,17,4000,2,68.75,50.0,16
WAA/SAA,fbc,17,4000,3,68.75,75.0,16
WAA/SAA,fbc,17,4000,4,62.5,75.0,16
WAA/SAA,fbc,17,4000,5,62.5,75.0,16
WAA/SAA,fbc,18,4000,1,81.25,75.0,16
WAA/SAA,fbc,18,4000,2,62.5,75.0,16
WAA/SAA,fbc,18,4000,3,81.25,81.25,16
WAA/SAA,fbc,18,4000,4,75.0,81.25,16
WAA/SAA,fbc,18,4000,5,75.0,75.0,16
