pair,subject,window_ms,accuracy,n_test
EFE/SAA,1,800,60.0,90
EFE/SAA,1,1500,64.44444444444444,90
EFE/SAA,1,3000,62.22222222222222,90
EFE/SAA,1,4000,58.88888888888889,90
EFE/SAA,2,800,61.25000000000001,80
EFE/SAA,2,1500,80.0,80
EFE/SAA,2,3000,66.25,80
EFE/SAA,2,4000,70.0,80
EFE/SAA,3,800,78.75,80
EFE/SAA,3,1500,92.5,80
EFE/SAA,3,3000,87.5,80
EFE/SAA,3,4000,87.5,80
EFE/SAA,4,800,91.25,80
EFE/SAA,4,1500,82.5,80
EFE/SAA,4,3000,81.25,80
EFE/SAA,4,4000,87.5,80
EFE/SAA,5,800,80.0,80
EFE/SAA,5,1500,85.0,80
EFE/SAA,5,3000,77.5,80
EFE/SAA,5,4000,81.25,80
EFE/SAA,6,800,57.49999999999999,80
EFE/SAA,6,1500,55.00000000000001,80
EFE/SAA,6,3000,55.00000000000001,80
EFE/SAA,6,4000,53.75,80
EFE/SAA,7,800,80.0,80
EFE/SAA,7,1500,88.75,80
EFE/SAA,7,3000,87.5,80
EFE/SAA,7,4000,92.5,80
EFE/SAA,8,800,56.25,80
EFE/SAA,8,1500,48.75,80
EFE/SAA,8,3000,60.0,80
EFE/SAA,8,4000,63.74999999999999,80
EFE/SAA,9,800,60.0,80
EFE/SAA,9,1500,65.0,80
EFE/SAA,9,3000,68.75,80
EFE/SAA,9,4000,62.5,80
EFE/SAA,10,800,72.5,80
EFE/SAA,10,1500,62.5,80
EFE/SAA,10,3000,66.25,80
EFE/SAA,10,4000,63.74999999999999,80
EFE/SAA,11,800,66.25,80
EFE/SAA,11,1500,85.0,80
EFE/SAA,11,3000,67.5,80
EFE/SAA,11,4000,70.0,80
EFE/SAA,12,800,61.25000000000001,80
EFE/SAA,12,1500,63.74999999999999,80
EFE/SAA,12,3000,62.5,80
EFE/SAA,12,4000,57.49999999999999,80
EFE/SAA,13,800,51.24999999999999,80
EFE/SAA,13,1500,55.00000000000001,80
EFE/SAA,13,3000,55.00000000000001,80
EFE/SAA,13,4000,58.75,80
EFE/SAA,14,800,60.0,80
EFE/SAA,14,1500,55.00000000000001,80
EFE/SAA,14,3000,51.24999999999999,80
EFE/SAA,14,4000,56.25,80
EFE/SAA,15,800,57.49999999999999,80
EFE/SAA,15,1500,61.25000000000001,80
EFE/SAA,15,3000,61.25000000000001,80
EFE/SAA,15,4000,55.00000000000001,80
EFE/SAA,16,800,55.00000000000001,80
EFE/SAA,16,1500,51.24999999999999,80
EFE/SAA,16,3000,52.5,80
EFE/SAA,16,4000,47.5,80
EFE/SAA,17,800,68.75,80
EFE/SAA,17,1500,71.25,80
EFE/SAA,17,3000,67.5,80
EFE/SAA,17,4000,71.25,80
EFE/SAA,18,800,80.0,80
EFE/SAA,18,1500,95.0,80
EFE/SAA,18,3000,92.5,80
EFE/SAA,18,4000,95.0,80
