pair,subject,window_ms,accuracy,n_test
HOC/SPS,1,800,53.333333333333336,90
HOC/SPS,1,1500,55.55555555555556,90
HOC/SPS,1,3000,66.66666666666666,90
HOC/SPS,1,4000,73.33333333333333,90
HOC/SPS,2,800,56.25,80
HOC/SPS,2,1500,60.0,80
HOC/SPS,2,3000,55.00000000000001,80
HOC/SPS,2,4000,60.0,80
HOC/SPS,3,800,73.75,80
HOC/SPS,3,1500,78.75,80
HOC/SPS,3,3000,68.75,80
HOC/SPS,3,4000,60.0,80
HOC/SPS,4,800,47.5,80
HOC/SPS,4,1500,57.49999999999999,80
HOC/SPS,4,3000,73.75,80
HOC/SPS,4,4000,81.25,80
HOC/SPS,5,800,56.25,80
HOC/SPS,5,1500,60.0,80
HOC/SPS,5,3000,66.25,80
HOC/SPS,5,4000,62.5,80
HOC/SPS,6,800,52.5,80
HOC/SPS,6,1500,60.0,80
HOC/SPS,6,3000,58.75,80
HOC/SPS,6,4000,46.25,80
HOC/SPS,7,800,48.75,80
HOC/SPS,7,1500,46.25,80
HOC/SPS,7,3000,56.25,80
HOC/SPS,7,4000,52.5,80
HOC/SPS,8,800,52.5,80
HOC/SPS,8,1500,51.24999999999999,80
HOC/SPS,8,3000,48.75,80
HOC/SPS,8,4000,47.5,80
HOC/SPS,9,800,55.00000000000001,80
HOC/SPS,9,1500,63.74999999999999,80
HOC/SPS,9,3000,55.00000000000001,80
HOC/SPS,9,4000,57.49999999999999,80
HOC/SPS,10,800,68.75,80
HOC/SPS,10,1500,75.0,80
HOC/SPS,10,3000,75.0,80
HOC/SPS,10,4000,72.5,80
HOC/SPS,11,800,47.5,80
HOC/SPS,11,1500,58.75,80
HOC/SPS,11,3000,53.75,80
HOC/SPS,11,4000,52.5,80
HOC/SPS,12,800,50.0,80
HOC/SPS,12,1500,47.5,80
HOC/SPS,12,3000,56.25,80
HOC/SPS,12,4000,45.0,80
HOC/SPS,13,800,52.5,80
HOC/SPS,13,1500,51.24999999999999,80
HOC/SPS,13,3000,65.0,80
HOC/SPS,13,4000,60.0,80
HOC/SPS,14,800,48.75,80
HOC/SPS,14,1500,62.5,80
HOC/SPS,14,3000,47.5,80
HOC/SPS,14,4000,55.00000000000001,80
HOC/SPS,15,800,57.49999999999999,80
HOC/SPS,15,1500,41.25,80
HOC/SPS,15,3000,51.24999999999999,80
HOC/SPS,15,4000,50.0,80
HOC/SPS,16,800,42.5,80
HOC/SPS,16,1500,51.24999999999999,80
HOC/SPS,16,3000,52.5,80
HOC/SPS,16,4000,53.75,80
HOC/SPS,17,800,60.0,80
HOC/SPS,17,1500,62.5,80
HOC/SPS,17,3000,56.25,80
HOC/SPS,17,4000,60.0,80
HOC/SPS,18,800,56.25,80
HOC/SPS,18,1500,60.0,80
HOC/SPS,18,3000,56.25,80
HOC/SPS,18,4000,56.25,80
