pair,subject,window_ms,accuracy,n_test
WFE/SPS,1,800,52.22222222222223,90
WFE/SPS,1,1500,68.88888888888889,90
WFE/SPS,1,3000,66.66666666666666,90
WFE/SPS,1,4000,67.77777777777779,90
WFE/SPS,2,800,52.5,80
WFE/SPS,2,1500,60.0,80
WFE/SPS,2,3000,70.0,80
WFE/SPS,2,4000,71.25,80
WFE/SPS,3,800,80.0,80
WFE/SPS,3,1500,80.0,80
WFE/SPS,3,3000,77.5,80
WFE/SPS,3,4000,81.25,80
WFE/SPS,4,800,87.5,80
WFE/SPS,4,1500,92.5,80
WFE/SPS,4,3000,91.25,80
WFE/SPS,4,4000,91.25,80
WFE/SPS,5,800,86.25,80
WFE/SPS,5,1500,80.0,80
WFE/SPS,5,3000,77.5,80
WFE/SPS,5,4000,85.0,80
WFE/SPS,6,800,53.75,80
WFE/SPS,6,1500,61.25000000000001,80
WFE/SPS,6,3000,63.74999999999999,80
WFE/SPS,6,4000,67.5,80
WFE/SPS,7,800,68.75,80
WFE/SPS,7,1500,73.75,80
WFE/SPS,7,3000,78.75,80
WFE/SPS,7,4000,76.25,80
WFE/SPS,8,800,56.25,80
WFE/SPS,8,1500,58.75,80
WFE/SPS,8,3000,62.5,80
WFE/SPS,8,4000,60.0,80
WFE/SPS,9,800,52.5,80
WFE/SPS,9,1500,43.75,80
WFE/SPS,9,3000,55.00000000000001,80
WFE/SPS,9,4000,53.75,80
WFE/SPS,10,800,73.75,80
WFE/SPS,10,1500,78.75,80
WFE/SPS,10,3000,80.0,80
WFE/SPS,10,4000,82.5,80
WFE/SPS,11,800,65.0,80
WFE/SPS,11,1500,66.25,80
WFE/SPS,11,3000,68.75,80
WFE/SPS,11,4000,71.25,80
WFE/SPS,12,800,71.25,80
WFE/SPS,12,1500,67.5,80
WFE/SPS,12,3000,68.75,80
WFE/SPS,12,4000,73.75,80
WFE/SPS,13,800,67.5,80
WFE/SPS,13,1500,71.25,80
WFE/SPS,13,3000,56.25,80
WFE/SPS,13,4000,55.00000000000001,80
WFE/SPS,14,800,72.5,80
WFE/SPS,14,1500,76.25,80
WFE/SPS,14,3000,78.75,80
WFE/SPS,14,4000,72.5,80
WFE/SPS,15,800,81.25,80
WFE/SPS,15,1500,83.75,80
WFE/SPS,15,3000,80.0,80
WFE/SPS,15,4000,86.25,80
WFE/SPS,16,800,57.49999999999999,80
WFE/SPS,16,1500,56.25,80
WFE/SPS,16,3000,41.25,80
WFE/SPS,16,4000,45.0,80
WFE/SPS,17,800,55.00000000000001,80
WFE/SPS,17,1500,60.0,80
WFE/SPS,17,3000,53.75,80
WFE/SPS,17,4000,57.49999999999999,80
WFE/SPS,18,800,85.0,80
WFE/SPS,18,1500,72.5,80
WFE/SPS,18,3000,73.75,80
WFE/SPS,18,4000,78.75,80
