pair,subject,window_ms,accuracy,n_test
HOC/SPS,1,800,60.0,90
HOC/SPS,1,1500,68.88888888888889,90
HOC/SPS,1,3000,65.55555555555556,90
HOC/SPS,1,4000,67.77777777777779,90
HOC/SPS,2,800,51.24999999999999,80
HOC/SPS,2,1500,73.75,80
HOC/SPS,2,3000,80.0,80
HOC/SPS,2,4000,81.25,80
HOC/SPS,3,800,66.25,80
HOC/SPS,3,1500,80.0,80
HOC/SPS,3,3000,78.75,80
HOC/SPS,3,4000,78.75,80
HOC/SPS,4,800,83.75,80
HOC/SPS,4,1500,91.25,80
HOC/SPS,4,3000,88.75,80
HOC/SPS,4,4000,93.75,80
HOC/SPS,5,800,87.5,80
HOC/SPS,5,1500,73.75,80
HOC/SPS,5,3000,72.5,80
HOC/SPS,5,4000,71.25,80
HOC/SPS,6,800,73.75,80
HOC/SPS,6,1500,71.25,80
HOC/SPS,6,3000,68.75,80
HOC/SPS,6,4000,67.5,80
HOC/SPS,7,800,68.75,80
HOC/SPS,7,1500,67.5,80
HOC/SPS,7,3000,63.74999999999999,80
HOC/SPS,7,4000,70.0,80
HOC/SPS,8,800,41.25,80
HOC/SPS,8,1500,47.5,80
HOC/SPS,8,3000,55.00000000000001,80
HOC/SPS,8,4000,51.24999999999999,80
HOC/SPS,9,800,51.24999999999999,80
HOC/SPS,9,1500,47.5,80
HOC/SPS,9,3000,51.24999999999999,80
HOC/SPS,9,4000,53.75,80
HOC/SPS,10,800,77.5,80
HOC/SPS,10,1500,77.5,80
HOC/SPS,10,3000,77.5,80
HOC/SPS,10,4000,80.0,80
HOC/SPS,11,800,51.24999999999999,80
HOC/SPS,11,1500,63.74999999999999,80
HOC/SPS,11,3000,73.75,80
HOC/SPS,11,4000,66.25,80
HOC/SPS,12,800,62.5,80
HOC/SPS,12,1500,71.25,80
HOC/SPS,12,3000,65.0,80
HOC/SPS,12,4000,68.75,80
HOC/SPS,13,800,57.49999999999999,80
HOC/SPS,13,1500,68.75,80
HOC/SPS,13,3000,65.0,80
HOC/SPS,13,4000,66.25,80
HOC/SPS,14,800,70.0,80
HOC/SPS,14,1500,78.75,80
HOC/SPS,14,3000,81.25,80
HOC/SPS,14,4000,82.5,80
HOC/SPS,15,800,81.25,80
HOC/SPS,15,1500,82.5,80
HOC/SPS,15,3000,76.25,80
HOC/SPS,15,4000,82.5,80
HOC/SPS,16,800,57.49999999999999,80
HOC/SPS,16,1500,68.75,80
HOC/SPS,16,3000,67.5,80
HOC/SPS,16,4000,68.75,80
HOC/SPS,17,800,53.75,80
HOC/SPS,17,1500,66.25,80
HOC/SPS,17,3000,63.74999999999999,80
HOC/SPS,17,4000,60.0,80
HOC/SPS,18,800,70.0,80
HOC/SPS,18,1500,76.25,80
HOC/SPS,18,3000,80.0,80
HOC/SPS,18,4000,80.0,80
