pair,subject,window_ms,accuracy,n_test
HOC/SAA,1,800,48.888888888888886,90
HOC/SAA,1,1500,63.33333333333333,90
HOC/SAA,1,3000,62.22222222222222,90
HOC/SAA,1,4000,54.44444444444444,90
HOC/SAA,2,800,61.25000000000001,80
HOC/SAA,2,1500,68.75,80
HOC/SAA,2,3000,67.5,80
HOC/SAA,2,4000,62.5,80
HOC/SAA,3,800,67.5,80
HOC/SAA,3,1500,80.0,80
HOC/SAA,3,3000,75.0,80
HOC/SAA,3,4000,73.75,80
HOC/SAA,4,800,86.25,80
HOC/SAA,4,1500,82.5,80
HOC/SAA,4,3000,78.75,80
HOC/SAA,4,4000,80.0,80
HOC/SAA,5,800,80.0,80
HOC/SAA,5,1500,82.5,80
HOC/SAA,5,3000,82.5,80
HOC/SAA,5,4000,81.25,80
HOC/SAA,6,800,66.25,80
HOC/SAA,6,1500,73.75,80
HOC/SAA,6,3000,75.0,80
HOC/SAA,6,4000,70.0,80
HOC/SAA,7,800,67.5,80
HOC/SAA,7,1500,86.25,80
HOC/SAA,7,3000,90.0,80
HOC/SAA,7,4000,86.25,80
HOC/SAA,8,800,48.75,80
HOC/SAA,8,1500,58.75,80
HOC/SAA,8,3000,71.25,80
HOC/SAA,8,4000,58.75,80
HOC/SAA,9,800,56.25,80
HOC/SAA,9,1500,62.5,80
HOC/SAA,9,3000,73.75,80
HOC/SAA,9,4000,62.5,80
HOC/SAA,10,800,81.25,80
HOC/SAA,10,1500,75.0,80
HOC/SAA,10,3000,67.5,80
HOC/SAA,10,4000,71.25,80
HOC/SAA,11,800,66.25,80
HOC/SAA,11,1500,78.75,80
HOC/SAA,11,3000,81.25,80
HOC/SAA,11,4000,77.5,80
HOC/SAA,12,800,67.5,80
HOC/SAA,12,1500,78.75,80
HOC/SAA,12,3000,71.25,80
HOC/SAA,12,4000,76.25,80
HOC/SAA,13,800,65.0,80
HOC/SAA,13,1500,75.0,80
HOC/SAA,13,3000,76.25,80
HOC/SAA,13,4000,80.0,80
HOC/SAA,14,800,72.5,80
HOC/SAA,14,1500,68.75,80
HOC/SAA,14,3000,72.5,80
HOC/SAA,14,4000,71.25,80
HOC/SAA,15,800,75.0,80
HOC/SAA,15,1500,76.25,80
HOC/SAA,15,3000,78.75,80
HOC/SAA,15,4000,75.0,80
HOC/SAA,16,800,81.25,80
HOC/SAA,16,1500,63.74999999999999,80
HOC/SAA,16,3000,68.75,80
HOC/SAA,16,4000,72.5,80
HOC/SAA,17,800,75.0,80
HOC/SAA,17,1500,61.25000000000001,80
HOC/SAA,17,3000,63.74999999999999,80
HOC/SAA,17,4000,65.0,80
HOC/SAA,18,800,77.5,80
HOC/SAA,18,1500,85.0,80
HOC/SAA,18,3000,91.25,80
HOC/SAA,18,4000,88.75,80
