pair,subject,window_ms,accuracy,n_test
SPS/SAA,1,800,62.22222222222222,90
SPS/SAA,1,1500,58.88888888888889,90
SPS/SAA,1,3000,42.22222222222222,90
SPS/SAA,1,4000,47.77777777777778,90
SPS/SAA,2,800,56.25,80
SPS/SAA,2,1500,46.25,80
SPS/SAA,2,3000,57.49999999999999,80
SPS/SAA,2,4000,52.5,80
SPS/SAA,3,800,60.0,80
SPS/SAA,3,1500,72.5,80
SPS/SAA,3,3000,65.0,80
SPS/SAA,3,4000,71.25,80
SPS/SAA,4,800,77.5,80
SPS/SAA,4,1500,75.0,80
SPS/SAA,4,3000,65.0,80
SPS/SAA,4,4000,58.75,80
SPS/SAA,5,800,60.0,80
SPS/SAA,5,1500,55.00000000000001,80
SPS/SAA,5,3000,53.75,80
SPS/SAA,5,4000,52.5,80
SPS/SAA,6,800,46.25,80
SPS/SAA,6,1500,37.5,80
SPS/SAA,6,3000,38.75,80
SPS/SAA,6,4000,55.00000000000001,80
SPS/SAA,7,800,63.74999999999999,80
SPS/SAA,7,1500,65.0,80
SPS/SAA,7,3000,68.75,80
SPS/SAA,7,4000,56.25,80
SPS/SAA,8,800,48.75,80
SPS/SAA,8,1500,45.0,80
SPS/SAA,8,3000,52.5,80
SPS/SAA,8,4000,50.0,80
SPS/SAA,9,800,46.25,80
SPS/SAA,9,1500,57.49999999999999,80
SPS/SAA,9,3000,55.00000000000001,80
SPS/SAA,9,4000,55.00000000000001,80
SPS/SAA,10,800,55.00000000000001,80
SPS/SAA,10,1500,62.5,80
SPS/SAA,10,3000,62.5,80
SPS/SAA,10,4000,60.0,80
SPS/SAA,11,800,43.75,80
SPS/SAA,11,1500,53.75,80
SPS/SAA,11,3000,78.75,80
SPS/SAA,11,4000,81.25,80
SPS/SAA,12,800,47.5,80
SPS/SAA,12,1500,51.24999999999999,80
SPS/SAA,12,3000,46.25,80
SPS/SAA,12,4000,51.24999999999999,80
SPS/SAA,13,800,52.5,80
SPS/SAA,13,1500,56.25,80
SPS/SAA,13,3000,60.0,80
SPS/SAA,13,4000,55.00000000000001,80
SPS/SAA,14,800,58.75,80
SPS/SAA,14,1500,57.49999999999999,80
SPS/SAA,14,3000,60.0,80
SPS/SAA,14,4000,53.75,80
SPS/SAA,15,800,82.5,80
SPS/SAA,15,1500,87.5,80
SPS/SAA,15,3000,65.0,80
SPS/SAA,15,4000,55.00000000000001,80
SPS/SAA,16,800,35.0,80
SPS/SAA,16,1500,46.25,80
SPS/SAA,16,3000,56.25,80
SPS/SAA,16,4000,60.0,80
SPS/SAA,17,800,50.0,80
SPS/SAA,17,1500,58.75,80
SPS/SAA,17,3000,50.0,80
SPS/SAA,17,4000,47.5,80
SPS/SAA,18,800,63.74999999999999,80
SPS/SAA,18,1500,72.5,80
SPS/SAA,18,3000,65.0,80
SPS/SAA,18,4000,63.74999999999999,80
