pair,subject,window_ms,accuracy,n_test
HOC/WFE,1,800,52.22222222222223,90
HOC/WFE,1,1500,57.77777777777777,90
HOC/WFE,1,3000,53.333333333333336,90
HOC/WFE,1,4000,41.11111111111111,90
HOC/WFE,2,800,57.49999999999999,80
HOC/WFE,2,1500,46.25,80
HOC/WFE,2,3000,62.5,80
HOC/WFE,2,4000,71.25,80
HOC/WFE,3,800,75.0,80
HOC/WFE,3,1500,72.5,80
HOC/WFE,3,3000,70.0,80
HOC/WFE,3,4000,62.5,80
HOC/WFE,4,800,70.0,80
HOC/WFE,4,1500,63.74999999999999,80
HOC/WFE,4,3000,68.75,80
HOC/WFE,4,4000,72.5,80
HOC/WFE,5,800,56.25,80
HOC/WFE,5,1500,58.75,80
HOC/WFE,5,3000,73.75,80
HOC/WFE,5,4000,66.25,80
HOC/WFE,6,800,56.25,80
HOC/WFE,6,1500,71.25,80
HOC/WFE,6,3000,61.25000000000001,80
HOC/WFE,6,4000,60.0,80
HOC/WFE,7,800,57.49999999999999,80
HOC/WFE,7,1500,55.00000000000001,80
HOC/WFE,7,3000,47.5,80
HOC/WFE,7,4000,58.75,80
HOC/WFE,8,800,50.0,80
HOC/WFE,8,1500,52.5,80
HOC/WFE,8,3000,47.5,80
HOC/WFE,8,4000,57.49999999999999,80
HOC/WFE,9,800,58.75,80
HOC/WFE,9,1500,47.5,80
HOC/WFE,9,3000,53.75,80
HOC/WFE,9,4000,50.0,80
HOC/WFE,10,800,65.0,80
HOC/WFE,10,1500,51.24999999999999,80
HOC/WFE,10,3000,50.0,80
HOC/WFE,10,4000,50.0,80
HOC/WFE,11,800,60.0,80
HOC/WFE,11,1500,58.75,80
HOC/WFE,11,3000,47.5,80
HOC/WFE,11,4000,56.25,80
HOC/WFE,12,800,61.25000000000001,80
HOC/WFE,12,1500,72.5,80
HOC/WFE,12,3000,63.74999999999999,80
HOC/WFE,12,4000,66.25,80
HOC/WFE,13,800,52.5,80
HOC/WFE,13,1500,66.25,80
HOC/WFE,13,3000,72.5,80
HOC/WFE,13,4000,66.25,80
HOC/WFE,14,800,60.0,80
HOC/WFE,14,1500,52.5,80
HOC/WFE,14,3000,51.24999999999999,80
HOC/WFE,14,4000,55.00000000000001,80
HOC/WFE,15,800,82.5,80
HOC/WFE,15,1500,83.75,80
HOC/WFE,15,3000,86.25,80
HOC/WFE,15,4000,90.0,80
HOC/WFE,16,800,63.74999999999999,80
HOC/WFE,16,1500,61.25000000000001,80
HOC/WFE,16,3000,70.0,80
HOC/WFE,16,4000,71.25,80
HOC/WFE,17,800,45.0,80
HOC/WFE,17,1500,56.25,80
HOC/WFE,17,3000,52.5,80
HOC/WFE,17,4000,37.5,80
HOC/WFE,18,800,73.75,80
HOC/WFE,18,1500,66.25,80
HOC/WFE,18,3000,75.0,80
HOC/WFE,18,4000,68.75,80
