pair,subject,window_ms,accuracy,n_test
WFE/WAA,1,800,52.22222222222223,90
WFE/WAA,1,1500,45.55555555555556,90
WFE/WAA,1,3000,50.0,90
WFE/WAA,1,4000,40.0,90
WFE/WAA,2,800,52.5,80
WFE/WAA,2,1500,41.25,80
WFE/WAA,2,3000,50.0,80
WFE/WAA,2,4000,50.0,80
WFE/WAA,3,800,60.0,80
WFE/WAA,3,1500,62.5,80
WFE/WAA,3,3000,60.0,80
WFE/WAA,3,4000,63.74999999999999,80
WFE/WAA,4,800,52.5,80
WFE/WAA,4,1500,65.0,80
WFE/WAA,4,3000,56.25,80
WFE/WAA,4,4000,60.0,80
WFE/WAA,5,800,51.24999999999999,80
WFE/WAA,5,1500,41.25,80
WFE/WAA,5,3000,50.0,80
WFE/WAA,5,4000,36.25,80
WFE/WAA,6,800,58.75,80
WFE/WAA,6,1500,55.00000000000001,80
WFE/WAA,6,3000,55.00000000000001,80
WFE/WAA,6,4000,45.0,80
WFE/WAA,7,800,52.5,80
WFE/WAA,7,1500,51.24999999999999,80
WFE/WAA,7,3000,62.5,80
WFE/WAA,7,4000,51.24999999999999,80
WFE/WAA,8,800,38.75,80
WFE/WAA,8,1500,48.75,80
WFE/WAA,8,3000,56.25,80
WFE/WAA,8,4000,52.5,80
WFE/WAA,9,800,48.75,80
WFE/WAA,9,1500,48.75,80
WFE/WAA,9,3000,50.0,80
WFE/WAA,9,4000,50.0,80
WFE/WAA,10,800,51.24999999999999,80
WFE/WAA,10,1500,46.25,80
WFE/WAA,10,3000,42.5,80
WFE/WAA,10,4000,55.00000000000001,80
WFE/WAA,11,800,37.5,80
WFE/WAA,11,1500,51.24999999999999,80
WFE/WAA,11,3000,50.0,80
WFE/WAA,11,4000,45.0,80
WFE/WAA,12,800,58.75,80
WFE/WAA,12,1500,53.75,80
WFE/WAA,12,3000,53.75,80
WFE/WAA,12,4000,53.75,80
WFE/WAA,13,800,58.75,80
WFE/WAA,13,1500,50.0,80
WFE/WAA,13,3000,56.25,80
WFE/WAA,13,4000,60.0,80
WFE/WAA,14,800,55.00000000000001,80
WFE/WAA,14,1500,51.24999999999999,80
WFE/WAA,14,3000,53.75,80
WFE/WAA,14,4000,48.75,80
WFE/WAA,15,800,48.75,80
WFE/WAA,15,1500,46.25,80
WFE/WAA,15,3000,43.75,80
WFE/WAA,15,4000,47.5,80
WFE/WAA,16,800,60.0,80
WFE/WAA,16,1500,57.49999999999999,80
WFE/WAA,16,3000,60.0,80
WFE/WAA,16,4000,70.0,80
WFE/WAA,17,800,56.25,80
WFE/WAA,17,1500,53.75,80
WFE/WAA,17,3000,58.75,80
WFE/WAA,17,4000,57.49999999999999,80
WFE/WAA,18,800,63.74999999999999,80
WFE/WAA,18,1500,53.75,80
WFE/WAA,18,3000,56.25,80
WFE/WAA,18,4000,47.5,80
