pair,mode,subject,window_ms,fold,accuracy,val_accuracy,n_test
WFE/WAA,raw,1,4000,1,77.77777777777777,83.33333333333333,18
WFE/WAA,raw,1,4000,2,77.77777777777777,77.77777777777777,18
WFE/WAA,raw,1,4000,3,77.77777777777777,83.33333333333333,18
WFE/WAA,raw,1,4000,4,83.33333333333333,77.77777777777777,18
WFE/WAA,raw,1,4000,5,55.55555555555556,83.33333333333333,18
WFE/WAA,raw,2,4000,1,50.0,62.5,16
WFE/WAA,raw,2,4000,2,56.25,75.0,16
WFE/WAA,raw,2,4000,3,62.5,93.75,16
WFE/WAA,raw,2,4000,4,68.75,68.75,16
WFE/WAA,raw,2,4000,5,62.5,62.5,16
WFE/WAA,raw,3,4000,1,68.75,68.75,16
WFE/WAA,raw,3,4000,2,87.5,68.75,16
WFE/WAA,raw,3,4000,3,81.25,75.0,16
WFE/WAA,raw,3,4000,4,62.5,87.5,16
WFE/WAA,raw,3,4000,5,75.0,87.5,16
WFE/WAA,raw,4,4000,1,81.25,68.75,16
WFE/WAA,raw,4,4000,2,43.75,75.0,16
WFE/WAA,raw,4,4000,3,75.0,87.5,16
WFE/WAA,raw,4,4000,4,81.25,81.25,16
WFE/WAA,raw,4,4000,5,75.0,87.5,16
WFE/WAA,raw,5,4000,1,50.0,75.0,16
WFE/WAA,raw,5,4000,2,62.5,56.25,16
WFE/WAA,raw,5,4000,3,50.0,75.0,16
WFE/WAA,raw,5,4000,4,75.0,62.5,16
WFE/WAA,raw,5,4000,5,68.75,68.75,16
WFE/WAA,raw,6,4000,1,75.0,81.25,16
WFE/WAA,raw,6,4000,2,68.75,81.25,16
WFE/WAA,raw,6,4000,3,62.5,75.0,16
WFE/WAA,raw,6,4000,4,50.0,62.5,16
WFE/WAA,raw,6,4000,5,81.25,68.75,16
WFE/WAA,raw,7,4000,1,62.5,81.25,16
WFE/WAA,raw,7,4000,2,68.75,87.5,16
WFE/WAA,raw,7,4000,3,62.5,75.0,16
WFE/WAA,raw,7,4000,4,62.5,100.0,16
WFE/WAA,raw,7,4000,5,68.75,81.25,16
WFE/WAA,raw,8,4000,1,75.0,75.0,16
WFE/WAA,raw,8,4000,2,68.75,68.75,16
WFE/WAA,raw,8,4000,3,56.25,62.5,16
WFE/WAA,raw,8,4000,4,75.0,62.5,16
WFE/WAA,raw,8,4000,5,43.75,75.0,16
WFE/WAA,raw,9,4000,1,56.25,68.75,16
WFE/WAA,raw,9,4000,2,56.25,87.5,16
WFE/WAA,raw,9,4000,3,75.0,62.5,16
WFE/WAA,raw,9,4000,4,62.5,81.25,16
WFE/WAA,raw,9,4000,5,81.25,81.25,16
WFE/WAA,raw,10,4000,1,56.25,56.25,16
WFE/WAA,raw,10,4000,2,68.75,62.5,16
WFE/WAA,raw,10,4000,3,75.0,68.75,16
WFE/WAA,raw,10,4000,4,81.25,68.75,16
WFE/WAA,raw,10,4000,5,37.5,68.75,16
WFE/WAA,raw,11,4000,1,68.75,93.75,16
WFE/WAA,raw,11,4000,2,68.75,81.25,16
WFE/WAA,raw,11,4000,3,62.5,81.25,16
WFE/WAA,raw,11,4000,4,81.25,81.25,16
WFE/WAA,raw,11,4000,5,81.25,81.25,16
WFE/WAA,raw,12,4000,1,68.75,68.75,16
WFE/WAA,raw,12,4000,2,68.75,68.75,16
WFE/WAA,raw,12,4000,3,75.0,93.75,16
WFE/WAA,raw,12,4000,4,75.0,81.25,16
WFE/WAA,raw,12,4000,5,81.25,75.0,16
WFE/WAA,raw,13,4000,1,75.0,75.0,16
WFE/WAA,raw,13,4000,2,50.0,87.5,16
WFE/WAA,raw,13,4000,3,56.25,75.0,16
WFE/WAA,raw,13,4000,4,62.5,56.25,16
WFE/WAA,raw,13,4000,5,62.5,56.25,16
WFE/WAA,raw,14,4000,1,62.5,50.0,16
WFE/WAA,raw,14,4000,2,37.5,68.75,16
WFE/WAA,raw,14,4000,3,62.5,50.0,16
WFE/WAA,raw,14,4000,4,37.5,50.0,16
WFE/WAA,raw,14,4000,5,68.75,50.0,16
WFE/WAA,raw,15,4000,1,81.25,81.25,16
WFE/WAA,raw,15,4000,2,62.5,93.75,16
WFE/WAA,raw,15,4000,3,75.0,87.5,16
WFE/WAA,raw,15,4000,4,87.5,93.75,16
WFE/WAA,raw,15,4000,5,87.5,87.5,16
WFE/WAA,raw,16,4000,1,50.0,50.0,16
WFE/WAA,raw,16,4000,2,56.25,56.25,16
WFE/WAA,raw,16,4000,3,62.5,56.25,16
WFE/WAA,raw,16,4000,4,50.0,62.5,16
WFE/WAA,raw,16,4000,5,62.5,50.0,16
WFE/WAA,raw,17,4000,1,50.0,68.75,16
WFE/WAA,raw,17,4000,2,62.5,87.5,16
WFE/WAA,raw,17,4000,3,68.75,68.75,16
WFE/WAA,raw,17,4000,4,75.0,75.0,16
WFE/WAA,raw,17,4000,5,62.5,75.0,16
WFE/WAA,raw,18,4000,1,68.75,93.75,16
WFE/WAA,raw,18,4000,2,81.25,75.0,16
WFE/WAA,raw,18,4000,3,87.5,75.0,16
WFE/WAA,raw,18,4000,4,75.0,87.5,16
WFE/WAA,raw,18,4000,5,87.5,81.25,16
