pair,mode,subject,window_ms,fold,accuracy,val_accuracy,n_test
WFE/SFE,raw,1,4000,1,50.0,77.77777777777777,18
WFE/SFE,raw,1,4000,2,55.55555555555556,66.66666666666667,18
WFE/SFE,raw,1,4000,3,77.77777777777777,77.77777777777777,18
WFE/SFE,raw,1,4000,4,55.55555555555556,77.77777777777777,18
WFE/SFE,raw,1,4000,5,55.55555555555556,72.22222222222223,18
WFE/SFE,raw,2,4000,1,68.75,68.75,16
WFE/SFE,raw,2,4000,2,50.0,62.5,16
WFE/SFE,raw,2,4000,3,68.75,62.5,16
WFE/SFE,raw,2,4000,4,50.0,68.75,16
WFE/SFE,raw,2,4000,5,56.25,75.0,16
WFE/SFE,raw,3,4000,1,62.5,87.5,16
WFE/SFE,raw,3,4000,2,87.5,81.25,16
WFE/SFE,raw,3,4000,3,75.0,93.75,16
WFE/SFE,raw,3,4000,4,87.5,68.75,16
WFE/SFE,raw,3,4000,5,68.75,87.5,16
WFE/SFE,raw,4,4000,1,87.5,81.25,16
WFE/SFE,raw,4,4000,2,62.5,100.0,16
WFE/SFE,raw,4,4000,3,75.0,81.25,16
WFE/SFE,raw,4,4000,4,75.0,75.0,16
WFE/SFE,raw,4,4000,5,75.0,87.5,16
WFE/SFE,raw,5,4000,1,52.94117647058823,75.0,17
WFE/SFE,raw,5,4000,2,62.5,64.70588235294117,16
WFE/SFE,raw,5,4000,3,62.5,64.70588235294117,16
WFE/SFE,raw,5,4000,4,56.25,58.8235294117647,16
WFE/SFE,raw,5,4000,5,62.5,82.3529411764706,16
WFE/SFE,raw,6,4000,1,75.0,56.25,16
WFE/SFE,raw,6,4000,2,68.75,75.0,16
WFE/SFE,raw,6,4000,3,68.75,56.25,16
WFE/SFE,raw,6,4000,4,56.25,62.5,16
WFE/SFE,raw,6,4000,5,50.0,75.0,16
WFE/SFE,raw,7,4000,1,62.5,68.75,16
WFE/SFE,raw,7,4000,2,50.0,62.5,16
WFE/SFE,raw,7,4000,3,62.5,56.25,16
WFE/SFE,raw,7,4000,4,50.0,62.5,16
WFE/SFE,raw,7,4000,5,37.5,50.0,16
WFE/SFE,raw,8,4000,1,62.5,62.5,16
WFE/SFE,raw,8,4000,2,68.75,62.5,16
WFE/SFE,raw,8,4000,3,62.5,56.25,16
WFE/SFE,raw,8,4000,4,62.5,62.5,16
WFE/SFE,raw,8,4000,5,68.75,56.25,16
WFE/SFE,raw,9,4000,1,68.75,62.5,16
WFE/SFE,raw,9,4000,2,50.0,50.0,16
WFE/SFE,raw,9,4000,3,56.25,62.5,16
WFE/SFE,raw,9,4000,4,75.0,62.5,16
WFE/SFE,raw,9,4000,5,68.75,62.5,16
WFE/SFE,raw,10,4000,1,62.5,50.0,16
WFE/SFE,raw,10,4000,2,50.0,56.25,16
WFE/SFE,raw,10,4000,3,68.75,56.25,16
WFE/SFE,raw,10,4000,4,43.75,56.25,16
WFE/SFE,raw,10,4000,5,56.25,68.75,16
WFE/SFE,raw,11,4000,1,43.75,75.0,16
WFE/SFE,raw,11,4000,2,56.25,62.5,16
WFE/SFE,raw,11,4000,3,56.25,50.0,16
WFE/SFE,raw,11,4000,4,50.0,62.5,16
WFE/SFE,raw,11,4000,5,62.5,56.25,16
WFE/SFE,raw,12,4000,1,62.5,62.5,16
WFE/SFE,raw,12,4000,2,62.5,62.5,16
WFE/SFE,raw,12,4000,3,75.0,75.0,16
WFE/SFE,raw,12,4000,4,56.25,56.25,16
WFE/SFE,raw,12,4000,5,56.25,56.25,16
WFE/SFE,raw,13,4000,1,68.75,56.25,16
WFE/SFE,raw,13,4000,2,81.25,81.25,16
WFE/SFE,raw,13,4000,3,50.0,75.0,16
WFE/SFE,raw,13,4000,4,50.0,75.0,16
WFE/SFE,raw,13,4000,5,56.25,75.0,16
WFE/SFE,raw,14,4000,1,43.75,50.0,16
WFE/SFE,raw,14,4000,2,50.0,68.75,16
WFE/SFE,raw,14,4000,3,56.25,75.0,16
WFE/SFE,raw,14,4000,4,50.0,75.0,16
WFE/SFE,raw,14,4000,5,68.75,62.5,16
WFE/SFE,raw,15,4000,1,50.0,50.0,16
WFE/SFE,raw,15,4000,2,62.5,56.25,16
WFE/SFE,raw,15,4000,3,37.5,50.0,16
WFE/SFE,raw,15,4000,4,37.5,68.75,16
WFE/SFE,raw,15,4000,5,43.75,56.25,16
WFE/SFE,raw,16,4000,1,43.75,50.0,16
WFE/SFE,raw,16,4000,2,56.25,68.75,16
WFE/SFE,raw,16,4000,3,56.25,50.0,16
WFE/SFE,raw,16,4000,4,62.5,68.75,16
WFE/SFE,raw,16,4000,5,62.5,62.5,16
WFE/SFE,raw,17,4000,1,56.25,62.5,16
WFE/SFE,raw,17,4000,2,37.5,68.75,16
WFE/SFE,raw,17,4000,3,75.0,81.25,16
WFE/SFE,raw,17,4000,4,37.5,75.0,16
WFE/SFE,raw,17,4000,5,31.25,68.75,16
WFE/SFE,raw,18,4000,1,81.25,75.0,16
WFE/SFE,raw,18,4000,2,87.5,75.0,16
WFE/SFE,raw,18,4000,3,75.0,81.25,16
WFE/SFE,raw,18,4000,4,81.25,81.25,16
WFE/SFE,raw,18,4000,5,68.75,81.25,16
