pair,subject,window_ms,fold,accuracy,val_accuracy,n_test
HOC/EFE,3,3000,4,81.25,81.25,16
HOC/EFE,3,3000,5,68.75,75.0,16
HOC/EFE,3,4000,1,93.75,81.25,16
HOC/EFE,3,4000,2,62.5,93.75,16
HOC/EFE,3,4000,3,75.0,75.0,16
HOC/EFE,3,4000,4,75.0,87.5,16
HOC/EFE,3,4000,5,68.75,75.0,16
HOC/EFE,4,800,1,81.25,93.75,16
HOC/EFE,4,800,2,56.25,75.0,16
HOC/EFE,4,800,3,56.25,93.75,16
HOC/EFE,4,800,4,56.25,81.25,16
HOC/EFE,4,800,5,50.0,93.75,16
HOC/EFE,4,1500,1,68.75,87.5,16
HOC/EFE,4,1500,2,93.75,75.0,16
HOC/EFE,4,1500,3,68.75,93.75,16
HOC/EFE,4,1500,4,68.75,68.75,16
HOC/EFE,4,1500,5,81.25,75.0,16
HOC/EFE,4,3000,1,75.0,93.75,16
HOC/EFE,4,3000,2,87.5,87.5,16
HOC/EFE,4,3000,3,81.25,81.25,16
HOC/EFE,4,3000,4,87.5,81.25,16
HOC/EFE,4,3000,5,75.0,81.25,16
HOC/EFE,4,4000,1,81.25,87.5,16
HOC/EFE,4,4000,2,93.75,87.5,16
HOC/EFE,4,4000,3,81.25,87.5,16
HOC/EFE,4,4000,4,75.0,87.5,16
HOC/EFE,4,4000,5,68.75,81.25,16
HOC/EFE,5,800,1,75.0,50.0,16
HOC/EFE,5,800,2,62.5,56.25,16
HOC/EFE,5,800,3,56.25,68.75,16
HOC/EFE,5,800,4,75.0,81.25,16
HOC/EFE,5,800,5,62.5,62.5,16
HOC/EFE,5,1500,1,75.0,68.75,16
HOC/EFE,5,1500,2,81.25,68.75,16
HOC/EFE,5,1500,3,68.75,81.25,16
HOC/EFE,5,1500,4,56.25,75.0,16
HOC/EFE,5,1500,5,75.0,81.25,16
HOC/EFE,5,3000,1,75.0,75.0,16
HOC/EFE,5,3000,2,56.25,75.0,16
HOC/EFE,5,3000,3,62.5,75.0,16
HOC/EFE,5,3000,4,37.5,75.0,16
HOC/EFE,5,3000,5,56.25,75.0,16
HOC/EFE,5,4000,1,81.25,62.5,16
HOC/EFE,5,4000,2,50.0,68.75,16
HOC/EFE,5,4000,3,75.0,87.5,16
HOC/EFE,5,4000,4,56.25,62.5,16
HOC/EFE,5,4000,5,87.5,68.75,16
HOC/EFE,6,800,1,50.0,75.0,16
HOC/EFE,6,800,2,62.5,75.0,16
HOC/EFE,6,800,3,50.0,56.25,16
HOC/EFE,6,800,4,68.75,62.5,16
HOC/EFE,6,800,5,68.75,87.5,16
HOC/EFE,6,1500,1,56.25,87.5,16
HOC/EFE,6,1500,2,68.75,75.0,16
HOC/EFE,6,1500,3,68.75,100.0,16
HOC/EFE,6,1500,4,87.5,87.5,16
HOC/EFE,6,1500,5,62.5,87.5,16
HOC/EFE,6,3000,1,75.0,87.5,16
HOC/EFE,6,3000,2,75.0,81.25,16
HOC/EFE,6,3000,3,56.25,81.25,16
HOC/EFE,6,3000,4,68.75,81.25,16
HOC/EFE,6,3000,5,56.25,81.25,16
HOC/EFE,6,4000,1,62.5,87.5,16
HOC/EFE,6,4000,2,68.75,75.0,16
HOC/EFE,6,4000,3,43.75,75.0,16
HOC/EFE,6,4000,4,75.0,81.25,16
HOC/EFE,6,4000,5,56.25,87.5,16
HOC/EFE,7,800,1,62.5,93.75,16
HOC/EFE,7,800,2,75.0,93.75,16
HOC/EFE,7,800,3,68.75,87.5,16
HOC/EFE,7,800,4,75.0,68.75,16
HOC/EFE,7,800,5,68.75,93.75,16
HOC/EFE,7,1500,1,62.5,87.5,16
HOC/EFE,7,1500,2,62.5,93.75,16
HOC/EFE,7,1500,3,68.75,81.25,16
HOC/EFE,7,1500,4,62.5,75.0,16
HOC/EFE,7,1500,5,81.25,87.5,16
HOC/EFE,7,3000,1,87.5,87.5,16
HOC/EFE,7,3000,2,75.0,93.75,16
HOC/EFE,7,3000,3,50.0,81.25,16
HOC/EFE,7,3000,4,75.0,81.25,16
HOC/EFE,7,3000,5,68.75,81.25,16
HOC/EFE,7,4000,1,81.25,93.75,16
HOC/EFE,7,4000,2,68.75,87.5,16
HOC/EFE,7,4000,3,62.5,81.25,16
HOC/EFE,7,4000,4,87.5,81.25,16
HOC/EFE,7,4000,5,87.5,87.5,16
HOC/EFE,8,800,1,50.0,62.5,16
HOC/EFE,8,800,2,50.0,68.75,16
HOC/EFE,8,800,3,50.0,56.25,16
HOC/EFE,8,800,4,50.0,68.75,16
HOC/EFE,8,800,5,62.5,68.75,16
HOC/EFE,8,1500,1,31.25,68.75,16
HOC/EFE,8,1500,2,56.25,68.75,16
HOC/EFE,8,1500,3,75.0,56.25,16
HOC/EFE,8,1500,4,43.75,56.25,16
HOC/EFE,8,1500,5,56.25,50.0,16
HOC/EFE,8,3000,1,50.0,50.0,16
HOC/EFE,8,3000,2,62.5,56.25,16
HOC/EFE,8,3000,3,50.0,62.5,16
HOC/EFE,8,3000,4,50.0,50.0,16
HOC/EFE,8,3000,5,31.25,68.75,16
HOC/EFE,8,4000,1,68.75,75.0,16
HOC/EFE,8,4000,2,37.5,62.5,16
HOC/EFE,8,4000,3,50.0,62.5,16
HOC/EFE,8,4000,4,62.5,62.5,16
HOC/EFE,8,4000,5,43.75,50.0,16
HOC/EFE,9,800,1,37.5,68.75,16
HOC/EFE,9,800,2,43.75,68.75,16
HOC/EFE,9,800,3,43.75,68.75,16
HOC/EFE,9,800,4,56.25,75.0,16
HOC/EFE,9,800,5,50.0,62.5,16
HOC/EFE,9,1500,1,37.5,62.5,16
HOC/EFE,9,1500,2,43.75,62.5,16
HOC/EFE,9,1500,3,43.75,68.75,16
HOC/EFE,9,1500,4,75.0,75.0,16
HOC/EFE,9,1500,5,50.0,50.0,16
HOC/EFE,9,3000,1,50.0,75.0,16
HOC/EFE,9,3000,2,62.5,81.25,16
HOC/EFE,9,3000,3,75.0,81.25,16
HOC/EFE,9,3000,4,81.25,62.5,16
HOC/EFE,9,3000,5,56.25,81.25,16
HOC/EFE,9,4000,1,75.0,62.5,16
HOC/EFE,9,4000,2,62.5,62.5,16
HOC/EFE,9,4000,3,62.5,75.0,16
HOC/EFE,9,4000,4,81.25,68.75,16
HOC/EFE,9,4000,5,43.75,81.25,16
HOC/EFE,10,800,1,75.0,62.5,16
HOC/EFE,10,800,2,62.5,75.0,16
HOC/EFE,10,800,3,62.5,56.25,16
HOC/EFE,10,800,4,62.5,62.5,16
HOC/EFE,10,800,5,81.25,81.25,16
HOC/EFE,10,1500,1,62.5,81.25,16
HOC/EFE,10,1500,2,68.75,68.75,16
HOC/EFE,10,1500,3,62.5,68.75,16
HOC/EFE,10,1500,4,62.5,75.0,16
HOC/EFE,10,1500,5,50.0,87.5,16
HOC/EFE,10,3000,1,50.0,81.25,16
HOC/EFE,10,3000,2,43.75,62.5,16
HOC/EFE,10,3000,3,62.5,62.5,16
HOC/EFE,10,3000,4,37.5,75.0,16
HOC/EFE,10,3000,5,68.75,75.0,16
HOC/EFE,10,4000,1,31.25,75.0,16
HOC/EFE,10,4000,2,75.0,56.25,16
HOC/EFE,10,4000,3,50.0,68.75,16
HOC/EFE,10,4000,4,43.75,68.75,16
HOC/EFE,10,4000,5,81.25,75.0,16
HOC/EFE,11,800,1,62.5,87.5,16
HOC/EFE,11,800,2,62.5,81.25,16
HOC/EFE,11,800,3,68.75,68.75,16
HOC/EFE,11,800,4,37.5,75.0,16
HOC/EFE,11,800,5,62.5,81.25,16
HOC/EFE,11,1500,1,56.25,75.0,16
HOC/EFE,11,1500,2,50.0,81.25,16
HOC/EFE,11,1500,3,31.25,68.75,16
HOC/EFE,11,1500,4,25.0,81.25,16
HOC/EFE,11,1500,5,56.25,87.5,16
HOC/EFE,11,3000,1,62.5,62.5,16
HOC/EFE,11,3000,2,62.5,62.5,16
HOC/EFE,11,3000,3,37.5,75.0,16
HOC/EFE,11,3000,4,43.75,75.0,16
HOC/EFE,11,3000,5,50.0,81.25,16
HOC/EFE,11,4000,1,50.0,87.5,16
HOC/EFE,11,4000,2,81.25,68.75,16
HOC/EFE,11,4000,3,56.25,68.75,16
HOC/EFE,11,4000,4,75.0,56.25,16
HOC/EFE,11,4000,5,50.0,81.25,16
HOC/EFE,12,800,1,43.75,68.75,16
HOC/EFE,12,800,2,56.25,37.5,16
HOC/EFE,12,800,3,43.75,50.0,16
HOC/EFE,12,800,4,43.75,62.5,16
HOC/EFE,12,800,5,56.25,56.25,16
HOC/EFE,12,1500,1,50.0,68.75,16
HOC/EFE,12,1500,2,62.5,56.25,16
HOC/EFE,12,1500,3,56.25,43.75,16
HOC/EFE,12,1500,4,43.75,56.25,16
HOC/EFE,12,1500,5,50.0,62.5,16
HOC/EFE,12,3000,1,50.0,81.25,16
HOC/EFE,12,3000,2,62.5,50.0,16
HOC/EFE,12,3000,3,68.75,50.0,16
HOC/EFE,12,3000,4,37.5,75.0,16
HOC/EFE,12,3000,5,56.25,56.25,16
HOC/EFE,12,4000,1,50.0,75.0,16
HOC/EFE,12,4000,2,75.0,50.0,16
HOC/EFE,12,4000,3,56.25,75.0,16
HOC/EFE,12,4000,4,31.25,68.75,16
HOC/EFE,12,4000,5,43.75,62.5,16
HOC/EFE,13,800,1,43.75,75.0,16
HOC/EFE,13,800,2,50.0,56.25,16
HOC/EFE,13,800,3,81.25,56.25,16
HOC/EFE,13,800,4,62.5,62.5,16
HOC/EFE,13,800,5,50.0,68.75,16
HOC/EFE,13,1500,1,81.25,81.25,16
HOC/EFE,13,1500,2,68.75,68.75,16
HOC/EFE,13,1500,3,75.0,100.0,16
HOC/EFE,13,1500,4,50.0,81.25,16
HOC/EFE,13,1500,5,75.0,87.5,16
HOC/EFE,13,3000,1,62.5,81.25,16
HOC/EFE,13,3000,2,81.25,81.25,16
HOC/EFE,13,3000,3,87.5,87.5,16
HOC/EFE,13,3000,4,75.0,81.25,16
HOC/EFE,13,3000,5,62.5,75.0,16
HOC/EFE,13,4000,1,68.75,75.0,16
HOC/EFE,13,4000,2,81.25,87.5,16
HOC/EFE,13,4000,3,75.0,81.25,16
HOC/EFE,13,4000,4,62.5,87.5,16
HOC/EFE,13,4000,5,56.25,93.75,16
HOC/EFE,14,800,1,75.0,87.5,16
HOC/EFE,14,800,2,43.75,87.5,16
HOC/EFE,14,800,3,56.25,75.0,16
HOC/EFE,14,800,4,56.25,75.0,16
HOC/EFE,14,800,5,62.5,68.75,16
HOC/EFE,14,1500,1,68.75,75.0,16
HOC/EFE,14,1500,2,56.25,75.0,16
HOC/EFE,14,1500,3,56.25,75.0,16
HOC/EFE,14,1500,4,68.75,62.5,16
HOC/EFE,14,1500,5,50.0,87.5,16
HOC/EFE,14,3000,1,75.0,68.75,16
HOC/EFE,14,3000,2,50.0,62.5,16
HOC/EFE,14,3000,3,62.5,68.75,16
HOC/EFE,14,3000,4,75.0,68.75,16
HOC/EFE,14,3000,5,62.5,81.25,16
HOC/EFE,14,4000,1,68.75,87.5,16
HOC/EFE,14,4000,2,62.5,68.75,16
HOC/EFE,14,4000,3,62.5,75.0,16
HOC/EFE,14,4000,4,87.5,75.0,16
HOC/EFE,14,4000,5,50.0,75.0,16
HOC/EFE,15,800,1,75.0,75.0,16
HOC/EFE,15,800,2,68.75,87.5,16
HOC/EFE,15,800,3,75.0,93.75,16
HOC/EFE,15,800,4,68.75,81.25,16
HOC/EFE,15,800,5,81.25,75.0,16
HOC/EFE,15,1500,1,81.25,75.0,16
HOC/EFE,15,1500,2,81.25,87.5,16
HOC/EFE,15,1500,3,75.0,93.75,16
HOC/EFE,15,1500,4,68.75,81.25,16
HOC/EFE,15,1500,5,93.75,81.25,16
HOC/EFE,15,3000,1,75.0,81.25,16
HOC/EFE,15,3000,2,75.0,81.25,16
HOC/EFE,15,3000,3,75.0,87.5,16
HOC/EFE,15,3000,4,62.5,87.5,16
HOC/EFE,15,3000,5,87.5,75.0,16
HOC/EFE,15,4000,1,87.5,81.25,16
HOC/EFE,15,4000,2,75.0,93.75,16
HOC/EFE,15,4000,3,75.0,93.75,16
HOC/EFE,15,4000,4,68.75,87.5,16
HOC/EFE,15,4000,5,87.5,81.25,16
HOC/EFE,16,800,1,75.0,75.0,16
HOC/EFE,16,800,2,50.0,68.75,16
HOC/EFE,16,800,3,56.25,68.75,16
HOC/EFE,16,800,4,68.75,75.0,16
HOC/EFE,16,800,5,56.25,75.0,16
HOC/EFE,16,1500,1,68.75,75.0,16
HOC/EFE,16,1500,2,50.0,68.75,16
HOC/EFE,16,1500,3,75.0,81.25,16
HOC/EFE,16,1500,4,68.75,87.5,16
HOC/EFE,16,1500,5,68.75,87.5,16
HOC/EFE,16,3000,1,68.75,68.75,16
HOC/EFE,16,3000,2,50.0,75.0,16
HOC/EFE,16,3000,3,68.75,75.0,16
HOC/EFE,16,3000,4,68.75,68.75,16
HOC/EFE,16,3000,5,68.75,75.0,16
HOC/EFE,16,4000,1,56.25,68.75,16
HOC/EFE,16,4000,2,56.25,68.75,16
HOC/EFE,16,4000,3,62.5,81.25,16
HOC/EFE,16,4000,4,75.0,75.0,16
HOC/EFE,16,4000,5,43.75,75.0,16
HOC/EFE,17,800,1,37.5,56.25,16
HOC/EFE,17,800,2,62.5,56.25,16
HOC/EFE,17,800,3,50.0,68.75,16
HOC/EFE,17,800,4,50.0,62.5,16
HOC/EFE,17,800,5,56.25,68.75,16
HOC/EFE,17,1500,1,75.0,75.0,16
HOC/EFE,17,1500,2,37.5,75.0,16
HOC/EFE,17,1500,3,62.5,62.5,16
HOC/EFE,17,1500,4,68.75,93.75,16
HOC/EFE,17,1500,5,56.25,75.0,16
HOC/EFE,17,3000,1,68.75,68.75,16
HOC/EFE,17,3000,2,56.25,87.5,16
HOC/EFE,17,3000,3,37.5,62.5,16
HOC/EFE,17,3000,4,50.0,75.0,16
HOC/EFE,17,3000,5,75.0,81.25,16
HOC/EFE,17,4000,1,43.75,75.0,16
HOC/EFE,17,4000,2,75.0,87.5,16
HOC/EFE,17,4000,3,62.5,62.5,16
HOC/EFE,17,4000,4,68.75,81.25,16
HOC/EFE,17,4000,5,62.5,93.75,16
HOC/EFE,18,800,1,62.5,75.0,16
HOC/EFE,18,800,2,62.5,75.0,16
HOC/EFE,18,800,3,62.5,62.5,16
HOC/EFE,18,800,4,68.75,62.5,16
HOC/EFE,18,800,5,43.75,62.5,16
HOC/EFE,18,1500,1,68.75,75.0,16
HOC/EFE,18,1500,2,87.5,75.0,16
HOC/EFE,18,1500,3,62.5,81.25,16
HOC/EFE,18,1500,4,81.25,56.25,16
HOC/EFE,18,1500,5,75.0,87.5,16
HOC/EFE,18,3000,1,75.0,75.0,16
HOC/EFE,18,3000,2,87.5,87.5,16
HOC/EFE,18,3000,3,68.75,81.25,16
HOC/EFE,18,3000,4,93.75,62.5,16
HOC/EFE,18,3000,5,81.25,81.25,16
HOC/EFE,18,4000,1,68.75,81.25,16
HOC/EFE,18,4000,2,81.25,81.25,16
HOC/EFE,18,4000,3,68.75,81.25,16
HOC/EFE,18,4000,4,75.0,75.0,16
HOC/EFE,18,4000,5,68.75,75.0,16
