pair,mode,subject,window_ms,fold,accuracy,val_accuracy,n_test
SAA/SFE,fbc,1,4000,1,55.55555555555556,55.55555555555556,18
SAA/SFE,fbc,1,4000,2,50.0,72.22222222222223,18
SAA/SFE,fbc,1,4000,3,61.111111111111114,66.66666666666667,18
SAA/SFE,fbc,1,4000,4,50.0,72.22222222222223,18
SAA/SFE,fbc,1,4000,5,44.44444444444444,77.77777777777777,18
SAA/SFE,fbc,2,4000,1,56.25,50.0,16
SAA/SFE,fbc,2,4000,2,50.0,50.0,16
SAA/SFE,fbc,2,4000,3,43.75,56.25,16
SAA/SFE,fbc,2,4000,4,56.25,62.5,16
SAA/SFE,fbc,2,4000,5,18.75,62.5,16
SAA/SFE,fbc,3,4000,1,56.25,75.0,16
SAA/SFE,fbc,3,4000,2,56.25,62.5,16
SAA/SFE,fbc,3,4000,3,68.75,62.5,16
SAA/SFE,fbc,3,4000,4,56.25,68.75,16
SAA/SFE,fbc,3,4000,5,50.0,62.5,16
SAA/SFE,fbc,4,4000,1,56.25,62.5,16
SAA/SFE,fbc,4,4000,2,50.0,68.75,16
SAA/SFE,fbc,4,4000,3,50.0,56.25,16
SAA/SFE,fbc,4,4000,4,31.25,56.25,16
SAA/SFE,fbc,4,4000,5,56.25,56.25,16
SAA/SFE,fbc,5,4000,1,41.1764705882353,50.0,17
SAA/SFE,fbc,5,4000,2,56.25,52.94117647058823,16
SAA/SFE,fbc,5,4000,3,37.5,52.94117647058823,16
SAA/SFE,fbc,5,4000,4,56.25,58.8235294117647,16
SAA/SFE,fbc,5,4000,5,31.25,70.58823529411765,16
SAA/SFE,fbc,6,4000,1,56.25,56.25,16
SAA/SFE,fbc,6,4000,2,75.0,56.25,16
SAA/SFE,fbc,6,4000,3,50.0,50.0,16
SAA/SFE,fbc,6,4000,4,43.75,62.5,16
SAA/SFE,fbc,6,4000,5,62.5,62.5,16
SAA/SFE,fbc,7,4000,1,56.25,50.0,16
SAA/SFE,fbc,7,4000,2,62.5,56.25,16
SAA/SFE,fbc,7,4000,3,37.5,62.5,16
SAA/SFE,fbc,7,4000,4,62.5,56.25,16
SAA/SFE,fbc,7,4000,5,37.5,62.5,16
SAA/SFE,fbc,8,4000,1,50.0,62.5,16
SAA/SFE,fbc,8,4000,2,50.0,62.5,16
SAA/SFE,fbc,8,4000,3,56.25,62.5,16
SAA/SFE,fbc,8,4000,4,68.75,68.75,16
SAA/SFE,fbc,8,4000,5,62.5,56.25,16
SAA/SFE,fbc,9,4000,1,56.25,62.5,16
SAA/SFE,fbc,9,4000,2,50.0,62.5,16
SAA/SFE,fbc,9,4000,3,31.25,62.5,16
SAA/SFE,fbc,9,4000,4,37.5,50.0,16
SAA/SFE,fbc,9,4000,5,43.75,68.75,16
SAA/SFE,fbc,10,4000,1,43.75,62.5,16
SAA/SFE,fbc,10,4000,2,50.0,56.25,16
SAA/SFE,fbc,10,4000,3,50.0,75.0,16
SAA/SFE,fbc,10,4000,4,37.5,56.25,16
SAA/SFE,fbc,10,4000,5,37.5,68.75,16
SAA/SFE,fbc,11,4000,1,75.0,50.0,16
SAA/SFE,fbc,11,4000,2,56.25,50.0,16
SAA/SFE,fbc,11,4000,3,37.5,50.0,16
SAA/SFE,fbc,11,4000,4,18.75,56.25,16
SAA/SFE,fbc,11,4000,5,50.0,50.0,16
SAA/SFE,fbc,12,4000,1,56.25,62.5,16
SAA/SFE,fbc,12,4000,2,37.5,56.25,16
SAA/SFE,fbc,12,4000,3,43.75,62.5,16
SAA/SFE,fbc,12,4000,4,43.75,56.25,16
SAA/SFE,fbc,12,4000,5,50.0,62.5,16
SAA/SFE,fbc,13,4000,1,68.75,50.0,16
SAA/SFE,fbc,13,4000,2,56.25,56.25,16
SAA/SFE,fbc,13,4000,3,43.75,56.25,16
SAA/SFE,fbc,13,4000,4,68.75,56.25,16
SAA/SFE,fbc,13,4000,5,50.0,62.5,16
SAA/SFE,fbc,14,4000,1,50.0,62.5,16
SAA/SFE,fbc,14,4000,2,25.0,81.25,16
SAA/SFE,fbc,14,4000,3,68.75,68.75,16
SAA/SFE,fbc,14,4000,4,50.0,68.75,16
SAA/SFE,fbc,14,4000,5,37.5,50.0,16
SAA/SFE,fbc,15,4000,1,37.5,50.0,16
SAA/SFE,fbc,15,4000,2,25.0,56.25,16
SAA/SFE,fbc,15,4000,3,37.5,56.25,16
SAA/SFE,fbc,15,4000,4,50.0,62.5,16
SAA/SFE,fbc,15,4000,5,56.25,56.25,16
SAA/SFE,fbc,16,4000,1,37.5,56.25,16
SAA/SFE,fbc,16,4000,2,43.75,62.5,16
SAA/SFE,fbc,16,4000,3,50.0,56.25,16
SAA/SFE,fbc,16,4000,4,62.5,75.0,16
SAA/SFE,fbc,16,4000,5,50.0,68.75,16
SAA/SFE,fbc,17,4000,1,56.25,56.25,16
SAA/SFE,fbc,17,4000,2,62.5,56.25,16
SAA/SFE,fbc,17,4000,3,62.5,68.75,16
SAA/SFE,fbc,17,4000,4,37.5,56.25,16
SAA/SFE,fbc,17,4000,5,43.75,62.5,16
SAA/SFE,fbc,18,4000,1,62.5,68.75,16
SAA/SFE,fbc,18,4000,2,75.0,75.0,16
SAA/SFE,fbc,18,4000,3,62.5,50.0,16
SAA/SFE,fbc,18,4000,4,75.0,75.0,16
SAA/SFE,fbc,18,4000,5,75.0,81.25,16
