pair,subject,window_ms,accuracy,n_test
EFE/SAA,1,800,61.111111111111114,90
EFE/SAA,1,1500,52.22222222222223,90
EFE/SAA,1,3000,52.22222222222223,90
EFE/SAA,1,4000,43.333333333333336,90
EFE/SAA,2,800,53.75,80
EFE/SAA,2,1500,58.75,80
EFE/SAA,2,3000,60.0,80
EFE/SAA,2,4000,61.25000000000001,80
EFE/SAA,3,800,65.0,80
EFE/SAA,3,1500,65.0,80
EFE/SAA,3,3000,62.5,80
EFE/SAA,3,4000,63.74999999999999,80
EFE/SAA,4,800,81.25,80
EFE/SAA,4,1500,71.25,80
EFE/SAA,4,3000,70.0,80
EFE/SAA,4,4000,55.00000000000001,80
EFE/SAA,5,800,71.25,80
EFE/SAA,5,1500,67.5,80
EFE/SAA,5,3000,53.75,80
EFE/SAA,5,4000,57.49999999999999,80
EFE/SAA,6,800,51.24999999999999,80
EFE/SAA,6,1500,57.49999999999999,80
EFE/SAA,6,3000,52.5,80
EFE/SAA,6,4000,53.75,80
EFE/SAA,7,800,61.25000000000001,80
EFE/SAA,7,1500,70.0,80
EFE/SAA,7,3000,62.5,80
EFE/SAA,7,4000,53.75,80
EFE/SAA,8,800,50.0,80
EFE/SAA,8,1500,41.25,80
EFE/SAA,8,3000,45.0,80
EFE/SAA,8,4000,55.00000000000001,80
EFE/SAA,9,800,52.5,80
EFE/SAA,9,1500,61.25000000000001,80
EFE/SAA,9,3000,68.75,80
EFE/SAA,9,4000,76.25,80
EFE/SAA,10,800,63.74999999999999,80
EFE/SAA,10,1500,62.5,80
EFE/SAA,10,3000,62.5,80
EFE/SAA,10,4000,72.5,80
EFE/SAA,11,800,53.75,80
EFE/SAA,11,1500,67.5,80
EFE/SAA,11,3000,71.25,80
EFE/SAA,11,4000,75.0,80
EFE/SAA,12,800,46.25,80
EFE/SAA,12,1500,48.75,80
EFE/SAA,12,3000,61.25000000000001,80
EFE/SAA,12,4000,62.5,80
EFE/SAA,13,800,53.75,80
EFE/SAA,13,1500,51.24999999999999,80
EFE/SAA,13,3000,57.49999999999999,80
EFE/SAA,13,4000,46.25,80
EFE/SAA,14,800,48.75,80
EFE/SAA,14,1500,51.24999999999999,80
EFE/SAA,14,3000,48.75,80
EFE/SAA,14,4000,46.25,80
EFE/SAA,15,800,52.5,80
EFE/SAA,15,1500,43.75,80
EFE/SAA,15,3000,52.5,80
EFE/SAA,15,4000,57.49999999999999,80
EFE/SAA,16,800,50.0,80
EFE/SAA,16,1500,51.24999999999999,80
EFE/SAA,16,3000,65.0,80
EFE/SAA,16,4000,72.5,80
EFE/SAA,17,800,66.25,80
EFE/SAA,17,1500,57.49999999999999,80
EFE/SAA,17,3000,51.24999999999999,80
EFE/SAA,17,4000,51.24999999999999,80
EFE/SAA,18,800,80.0,80
EFE/SAA,18,1500,80.0,80
EFE/SAA,18,3000,88.75,80
EFE/SAA,18,4000,92.5,80
