pair,mode,subject,window_ms,accuracy,n_test
WAA/SPS,cwt,1,4000,55.55555555555556,90
WAA/SPS,cwt,2,4000,62.5,80
WAA/SPS,cwt,3,4000,53.75,80
WAA/SPS,cwt,4,4000,75.0,80
WAA/SPS,cwt,5,4000,58.75,80
WAA/SPS,cwt,6,4000,60.0,80
WAA/SPS,cwt,7,4000,57.49999999999999,80
WAA/SPS,cwt,8,4000,60.0,80
WAA/SPS,cwt,9,4000,72.5,80
WAA/SPS,cwt,10,4000,67.5,80
WAA/SPS,cwt,11,4000,77.5,80
WAA/SPS,cwt,12,4000,63.74999999999999,80
WAA/SPS,cwt,13,4000,52.5,80
WAA/SPS,cwt,14,4000,66.25,80
WAA/SPS,cwt,15,4000,61.25000000000001,80
WAA/SPS,cwt,16,4000,48.75,80
WAA/SPS,cwt,17,4000,50.0,80
WAA/SPS,cwt,18,4000,68.75,80
