pair,mode,subject,window_ms,accuracy,n_test
WAA/SAA,raw,1,4000,60.0,90
WAA/SAA,raw,2,4000,63.74999999999999,80
WAA/SAA,raw,3,4000,73.75,80
WAA/SAA,raw,4,4000,92.5,80
WAA/SAA,raw,5,4000,78.75,80
WAA/SAA,raw,6,4000,73.75,80
WAA/SAA,raw,7,4000,92.5,80
WAA/SAA,raw,8,4000,62.5,80
WAA/SAA,raw,9,4000,58.75,80
WAA/SAA,raw,10,4000,57.49999999999999,80
WAA/SAA,raw,11,4000,83.75,80
WAA/SAA,raw,12,4000,71.25,80
WAA/SAA,raw,13,4000,73.75,80
WAA/SAA,raw,14,4000,56.25,80
WAA/SAA,raw,15,4000,72.5,80
WAA/SAA,raw,16,4000,47.5,80
WAA/SAA,raw,17,4000,63.74999999999999,80
WAA/SAA,raw,18,4000,83.75,80
