pair,subject,window_ms,accuracy,n_test
WFE/SAA,1,800,65.55555555555556,90
WFE/SAA,1,1500,62.22222222222222,90
WFE/SAA,1,3000,54.44444444444444,90
WFE/SAA,1,4000,63.33333333333333,90
WFE/SAA,2,800,67.5,80
WFE/SAA,2,1500,58.75,80
WFE/SAA,2,3000,45.0,80
WFE/SAA,2,4000,55.00000000000001,80
WFE/SAA,3,800,60.0,80
WFE/SAA,3,1500,75.0,80
WFE/SAA,3,3000,66.25,80
WFE/SAA,3,4000,66.25,80
WFE/SAA,4,800,71.25,80
WFE/SAA,4,1500,76.25,80
WFE/SAA,4,3000,80.0,80
WFE/SAA,4,4000,68.75,80
WFE/SAA,5,800,60.0,80
WFE/SAA,5,1500,58.75,80
WFE/SAA,5,3000,55.00000000000001,80
WFE/SAA,5,4000,45.0,80
WFE/SAA,6,800,52.5,80
WFE/SAA,6,1500,55.00000000000001,80
WFE/SAA,6,3000,56.25,80
WFE/SAA,6,4000,71.25,80
WFE/SAA,7,800,68.75,80
WFE/SAA,7,1500,65.0,80
WFE/SAA,7,3000,61.25000000000001,80
WFE/SAA,7,4000,62.5,80
WFE/SAA,8,800,51.24999999999999,80
WFE/SAA,8,1500,55.00000000000001,80
WFE/SAA,8,3000,51.24999999999999,80
WFE/SAA,8,4000,48.75,80
WFE/SAA,9,800,48.75,80
WFE/SAA,9,1500,61.25000000000001,80
WFE/SAA,9,3000,62.5,80
WFE/SAA,9,4000,60.0,80
WFE/SAA,10,800,58.75,80
WFE/SAA,10,1500,71.25,80
WFE/SAA,10,3000,72.5,80
WFE/SAA,10,4000,75.0,80
WFE/SAA,11,800,50.0,80
WFE/SAA,11,1500,67.5,80
WFE/SAA,11,3000,72.5,80
WFE/SAA,11,4000,73.75,80
WFE/SAA,12,800,62.5,80
WFE/SAA,12,1500,55.00000000000001,80
WFE/SAA,12,3000,78.75,80
WFE/SAA,12,4000,72.5,80
WFE/SAA,13,800,53.75,80
WFE/SAA,13,1500,48.75,80
WFE/SAA,13,3000,62.5,80
WFE/SAA,13,4000,60.0,80
WFE/SAA,14,800,52.5,80
WFE/SAA,14,1500,58.75,80
WFE/SAA,14,3000,60.0,80
WFE/SAA,14,4000,61.25000000000001,80
WFE/SAA,15,800,47.5,80
WFE/SAA,15,1500,52.5,80
WFE/SAA,15,3000,55.00000000000001,80
WFE/SAA,15,4000,66.25,80
WFE/SAA,16,800,61.25000000000001,80
WFE/SAA,16,1500,51.24999999999999,80
WFE/SAA,16,3000,43.75,80
WFE/SAA,16,4000,52.5,80
WFE/SAA,17,800,52.5,80
WFE/SAA,17,1500,60.0,80
WFE/SAA,17,3000,55.00000000000001,80
WFE/SAA,17,4000,57.49999999999999,80
WFE/SAA,18,800,73.75,80
WFE/SAA,18,1500,88.75,80
WFE/SAA,18,3000,93.75,80
WFE/SAA,18,4000,93.75,80
