pair,subject,window_ms,accuracy,n_test
HOC/SFE,1,800,74.44444444444444,90
HOC/SFE,1,1500,61.111111111111114,90
HOC/SFE,1,3000,53.333333333333336,90
HOC/SFE,1,4000,66.66666666666666,90
HOC/SFE,2,800,60.0,80
HOC/SFE,2,1500,51.24999999999999,80
HOC/SFE,2,3000,58.75,80
HOC/SFE,2,4000,63.74999999999999,80
HOC/SFE,3,800,81.25,80
HOC/SFE,3,1500,71.25,80
HOC/SFE,3,3000,63.74999999999999,80
HOC/SFE,3,4000,72.5,80
HOC/SFE,4,800,62.5,80
HOC/SFE,4,1500,63.74999999999999,80
HOC/SFE,4,3000,66.25,80
HOC/SFE,4,4000,61.25000000000001,80
HOC/SFE,5,800,64.19753086419753,81
HOC/SFE,5,1500,76.5432098765432,81
HOC/SFE,5,3000,67.90123456790124,81
HOC/SFE,5,4000,70.37037037037037,81
HOC/SFE,6,800,48.75,80
HOC/SFE,6,1500,60.0,80
HOC/SFE,6,3000,60.0,80
HOC/SFE,6,4000,60.0,80
HOC/SFE,7,800,55.00000000000001,80
HOC/SFE,7,1500,62.5,80
HOC/SFE,7,3000,51.24999999999999,80
HOC/SFE,7,4000,57.49999999999999,80
HOC/SFE,8,800,46.25,80
HOC/SFE,8,1500,55.00000000000001,80
HOC/SFE,8,3000,51.24999999999999,80
HOC/SFE,8,4000,53.75,80
HOC/SFE,9,800,67.5,80
HOC/SFE,9,1500,56.25,80
HOC/SFE,9,3000,61.25000000000001,80
HOC/SFE,9,4000,52.5,80
HOC/SFE,10,800,55.00000000000001,80
HOC/SFE,10,1500,62.5,80
HOC/SFE,10,3000,62.5,80
HOC/SFE,10,4000,62.5,80
HOC/SFE,11,800,60.0,80
HOC/SFE,11,1500,53.75,80
HOC/SFE,11,3000,52.5,80
HOC/SFE,11,4000,56.25,80
HOC/SFE,12,800,45.0,80
HOC/SFE,12,1500,33.75,80
HOC/SFE,12,3000,51.24999999999999,80
HOC/SFE,12,4000,43.75,80
HOC/SFE,13,800,51.24999999999999,80
HOC/SFE,13,1500,46.25,80
HOC/SFE,13,3000,55.00000000000001,80
HOC/SFE,13,4000,48.75,80
HOC/SFE,14,800,61.25000000000001,80
HOC/SFE,14,1500,58.75,80
HOC/SFE,14,3000,62.5,80
HOC/SFE,14,4000,51.24999999999999,80
HOC/SFE,15,800,52.5,80
HOC/SFE,15,1500,55.00000000000001,80
HOC/SFE,15,3000,57.49999999999999,80
HOC/SFE,15,4000,61.25000000000001,80
HOC/SFE,16,800,41.25,80
HOC/SFE,16,1500,38.75,80
HOC/SFE,16,3000,48.75,80
HOC/SFE,16,4000,47.5,80
HOC/SFE,17,800,60.0,80
HOC/SFE,17,1500,75.0,80
HOC/SFE,17,3000,66.25,80
HOC/SFE,17,4000,71.25,80
HOC/SFE,18,800,56.25,80
HOC/SFE,18,1500,66.25,80
HOC/SFE,18,3000,66.25,80
HOC/SFE,18,4000,67.5,80
