pair,subject,window_ms,accuracy,n_test
SAA/SFE,1,800,56.666666666666664,90
SAA/SFE,1,1500,45.55555555555556,90
SAA/SFE,1,3000,50.0,90
SAA/SFE,1,4000,34.44444444444444,90
SAA/SFE,2,800,48.75,80
SAA/SFE,2,1500,48.75,80
SAA/SFE,2,3000,48.75,80
SAA/SFE,2,4000,46.25,80
SAA/SFE,3,800,58.75,80
SAA/SFE,3,1500,53.75,80
SAA/SFE,3,3000,55.00000000000001,80
SAA/SFE,3,4000,57.49999999999999,80
SAA/SFE,4,800,63.74999999999999,80
SAA/SFE,4,1500,66.25,80
SAA/SFE,4,3000,68.75,80
SAA/SFE,4,4000,58.75,80
SAA/SFE,5,800,62.96296296296296,81
SAA/SFE,5,1500,69.1358024691358,81
SAA/SFE,5,3000,69.1358024691358,81
SAA/SFE,5,4000,62.96296296296296,81
SAA/SFE,6,800,58.75,80
SAA/SFE,6,1500,66.25,80
SAA/SFE,6,3000,61.25000000000001,80
SAA/SFE,6,4000,70.0,80
SAA/SFE,7,800,57.49999999999999,80
SAA/SFE,7,1500,51.24999999999999,80
SAA/SFE,7,3000,57.49999999999999,80
SAA/SFE,7,4000,61.25000000000001,80
SAA/SFE,8,800,57.49999999999999,80
SAA/SFE,8,1500,57.49999999999999,80
SAA/SFE,8,3000,52.5,80
SAA/SFE,8,4000,56.25,80
SAA/SFE,9,800,55.00000000000001,80
SAA/SFE,9,1500,72.5,80
SAA/SFE,9,3000,63.74999999999999,80
SAA/SFE,9,4000,61.25000000000001,80
SAA/SFE,10,800,76.25,80
SAA/SFE,10,1500,66.25,80
SAA/SFE,10,3000,70.0,80
SAA/SFE,10,4000,70.0,80
SAA/SFE,11,800,65.0,80
SAA/SFE,11,1500,73.75,80
SAA/SFE,11,3000,75.0,80
SAA/SFE,11,4000,70.0,80
SAA/SFE,12,800,63.74999999999999,80
SAA/SFE,12,1500,57.49999999999999,80
SAA/SFE,12,3000,61.25000000000001,80
SAA/SFE,12,4000,61.25000000000001,80
SAA/SFE,13,800,50.0,80
SAA/SFE,13,1500,61.25000000000001,80
SAA/SFE,13,3000,55.00000000000001,80
SAA/SFE,13,4000,67.5,80
SAA/SFE,14,800,57.49999999999999,80
SAA/SFE,14,1500,57.49999999999999,80
SAA/SFE,14,3000,56.25,80
SAA/SFE,14,4000,50.0,80
SAA/SFE,15,800,58.75,80
SAA/SFE,15,1500,51.24999999999999,80
SAA/SFE,15,3000,50.0,80
SAA/SFE,15,4000,50.0,80
SAA/SFE,16,800,58.75,80
SAA/SFE,16,1500,52.5,80
SAA/SFE,16,3000,58.75,80
SAA/SFE,16,4000,58.75,80
SAA/SFE,17,800,55.00000000000001,80
SAA/SFE,17,1500,52.5,80
SAA/SFE,17,3000,41.25,80
SAA/SFE,17,4000,53.75,80
SAA/SFE,18,800,66.25,80
SAA/SFE,18,1500,83.75,80
SAA/SFE,18,3000,75.0,80
SAA/SFE,18,4000,78.75,80
