pair,subject,window_ms,accuracy,n_test
EFE/SFE,1,800,58.88888888888889,90
EFE/SFE,1,1500,55.55555555555556,90
EFE/SFE,1,3000,64.44444444444444,90
EFE/SFE,1,4000,61.111111111111114,90
EFE/SFE,2,800,63.74999999999999,80
EFE/SFE,2,1500,62.5,80
EFE/SFE,2,3000,63.74999999999999,80
EFE/SFE,2,4000,61.25000000000001,80
EFE/SFE,3,800,87.5,80
EFE/SFE,3,1500,90.0,80
EFE/SFE,3,3000,88.75,80
EFE/SFE,3,4000,86.25,80
EFE/SFE,4,800,87.5,80
EFE/SFE,4,1500,83.75,80
EFE/SFE,4,3000,87.5,80
EFE/SFE,4,4000,88.75,80
EFE/SFE,5,800,75.30864197530865,81
EFE/SFE,5,1500,77.77777777777779,81
EFE/SFE,5,3000,70.37037037037037,81
EFE/SFE,5,4000,72.8395061728395,81
EFE/SFE,6,800,51.24999999999999,80
EFE/SFE,6,1500,68.75,80
EFE/SFE,6,3000,65.0,80
EFE/SFE,6,4000,61.25000000000001,80
EFE/SFE,7,800,77.5,80
EFE/SFE,7,1500,80.0,80
EFE/SFE,7,3000,81.25,80
EFE/SFE,7,4000,75.0,80
EFE/SFE,8,800,50.0,80
EFE/SFE,8,1500,47.5,80
EFE/SFE,8,3000,46.25,80
EFE/SFE,8,4000,43.75,80
EFE/SFE,9,800,55.00000000000001,80
EFE/SFE,9,1500,56.25,80
EFE/SFE,9,3000,56.25,80
EFE/SFE,9,4000,55.00000000000001,80
EFE/SFE,10,800,76.25,80
EFE/SFE,10,1500,56.25,80
EFE/SFE,10,3000,63.74999999999999,80
EFE/SFE,10,4000,67.5,80
EFE/SFE,11,800,51.24999999999999,80
EFE/SFE,11,1500,57.49999999999999,80
EFE/SFE,11,3000,63.74999999999999,80
EFE/SFE,11,4000,71.25,80
EFE/SFE,12,800,62.5,80
EFE/SFE,12,1500,53.75,80
EFE/SFE,12,3000,65.0,80
EFE/SFE,12,4000,67.5,80
EFE/SFE,13,800,60.0,80
EFE/SFE,13,1500,67.5,80
EFE/SFE,13,3000,55.00000000000001,80
EFE/SFE,13,4000,57.49999999999999,80
EFE/SFE,14,800,63.74999999999999,80
EFE/SFE,14,1500,61.25000000000001,80
EFE/SFE,14,3000,55.00000000000001,80
EFE/SFE,14,4000,61.25000000000001,80
EFE/SFE,15,800,61.25000000000001,80
EFE/SFE,15,1500,55.00000000000001,80
EFE/SFE,15,3000,57.49999999999999,80
EFE/SFE,15,4000,56.25,80
EFE/SFE,16,800,45.0,80
EFE/SFE,16,1500,52.5,80
EFE/SFE,16,3000,51.24999999999999,80
EFE/SFE,16,4000,52.5,80
EFE/SFE,17,800,55.00000000000001,80
EFE/SFE,17,1500,65.0,80
EFE/SFE,17,3000,68.75,80
EFE/SFE,17,4000,66.25,80
EFE/SFE,18,800,81.25,80
EFE/SFE,18,1500,71.25,80
EFE/SFE,18,3000,90.0,80
EFE/SFE,18,4000,88.75,80
