pair,subject,window_ms,accuracy,n_test
HOC/SAA,1,800,51.11111111111111,90
HOC/SAA,1,1500,66.66666666666666,90
HOC/SAA,1,3000,58.88888888888889,90
HOC/SAA,1,4000,67.77777777777779,90
HOC/SAA,2,800,62.5,80
HOC/SAA,2,1500,68.75,80
HOC/SAA,2,3000,68.75,80
HOC/SAA,2,4000,66.25,80
HOC/SAA,3,800,62.5,80
HOC/SAA,3,1500,82.5,80
HOC/SAA,3,3000,78.75,80
HOC/SAA,3,4000,76.25,80
HOC/SAA,4,800,73.75,80
HOC/SAA,4,1500,85.0,80
HOC/SAA,4,3000,77.5,80
HOC/SAA,4,4000,77.5,80
HOC/SAA,5,800,81.25,80
HOC/SAA,5,1500,90.0,80
HOC/SAA,5,3000,87.5,80
HOC/SAA,5,4000,86.25,80
HOC/SAA,6,800,70.0,80
HOC/SAA,6,1500,80.0,80
HOC/SAA,6,3000,80.0,80
HOC/SAA,6,4000,67.5,80
HOC/SAA,7,800,67.5,80
HOC/SAA,7,1500,87.5,80
HOC/SAA,7,3000,86.25,80
HOC/SAA,7,4000,86.25,80
HOC/SAA,8,800,43.75,80
HOC/SAA,8,1500,58.75,80
HOC/SAA,8,3000,52.5,80
HOC/SAA,8,4000,66.25,80
HOC/SAA,9,800,62.5,80
HOC/SAA,9,1500,60.0,80
HOC/SAA,9,3000,75.0,80
HOC/SAA,9,4000,68.75,80
HOC/SAA,10,800,73.75,80
HOC/SAA,10,1500,75.0,80
HOC/SAA,10,3000,76.25,80
HOC/SAA,10,4000,71.25,80
HOC/SAA,11,800,53.75,80
HOC/SAA,11,1500,80.0,80
HOC/SAA,11,3000,77.5,80
HOC/SAA,11,4000,81.25,80
HOC/SAA,12,800,66.25,80
HOC/SAA,12,1500,62.5,80
HOC/SAA,12,3000,68.75,80
HOC/SAA,12,4000,72.5,80
HOC/SAA,13,800,58.75,80
HOC/SAA,13,1500,81.25,80
HOC/SAA,13,3000,73.75,80
HOC/SAA,13,4000,76.25,80
HOC/SAA,14,800,71.25,80
HOC/SAA,14,1500,70.0,80
HOC/SAA,14,3000,72.5,80
HOC/SAA,14,4000,75.0,80
HOC/SAA,15,800,81.25,80
HOC/SAA,15,1500,76.25,80
HOC/SAA,15,3000,76.25,80
HOC/SAA,15,4000,86.25,80
HOC/SAA,16,800,60.0,80
HOC/SAA,16,1500,70.0,80
HOC/SAA,16,3000,67.5,80
HOC/SAA,16,4000,67.5,80
HOC/SAA,17,800,53.75,80
HOC/SAA,17,1500,63.74999999999999,80
HOC/SAA,17,3000,57.49999999999999,80
HOC/SAA,17,4000,62.5,80
HOC/SAA,18,800,76.25,80
HOC/SAA,18,1500,82.5,80
HOC/SAA,18,3000,92.5,80
HOC/SAA,18,4000,91.25,80
