pair,mode,subject,window_ms,accuracy,n_test
WAA/EFE,cwt,1,4000,68.88888888888889,90
WAA/EFE,cwt,2,4000,46.25,80
WAA/EFE,cwt,3,4000,52.5,80
WAA/EFE,cwt,4,4000,71.25,80
WAA/EFE,cwt,5,4000,50.0,80
WAA/EFE,cwt,6,4000,65.0,80
WAA/EFE,cwt,7,4000,56.25,80
WAA/EFE,cwt,8,4000,52.5,80
WAA/EFE,cwt,9,4000,57.49999999999999,80
WAA/EFE,cwt,10,4000,56.25,80
WAA/EFE,cwt,11,4000,58.75,80
WAA/EFE,cwt,12,4000,51.24999999999999,80
WAA/EFE,cwt,13,4000,62.5,80
WAA/EFE,cwt,14,4000,71.25,80
WAA/EFE,cwt,15,4000,48.75,80
WAA/EFE,cwt,16,4000,60.0,80
WAA/EFE,cwt,17,4000,58.75,80
WAA/EFE,cwt,18,4000,65.0,80
