pair,mode,subject,window_ms,accuracy,n_test
HOC/WFE,cwt,1,4000,62.22222222222222,90
HOC/WFE,cwt,2,4000,45.0,80
HOC/WFE,cwt,3,4000,60.0,80
HOC/WFE,cwt,4,4000,63.74999999999999,80
HOC/WFE,cwt,5,4000,47.5,80
HOC/WFE,cwt,6,4000,53.75,80
HOC/WFE,cwt,7,4000,42.5,80
HOC/WFE,cwt,8,4000,56.25,80
HOC/WFE,cwt,9,4000,60.0,80
HOC/WFE,cwt,10,4000,53.75,80
HOC/WFE,cwt,11,4000,46.25,80
HOC/WFE,cwt,12,4000,53.75,80
HOC/WFE,cwt,13,4000,40.0,80
HOC/WFE,cwt,14,4000,43.75,80
HOC/WFE,cwt,15,4000,52.5,80
HOC/WFE,cwt,16,4000,52.5,80
HOC/WFE,cwt,17,4000,57.49999999999999,80
HOC/WFE,cwt,18,4000,57.49999999999999,80
