pair,mode,subject,window_ms,accuracy,n_test
WAA/SPS,raw,1,4000,58.88888888888889,90
WAA/SPS,raw,2,4000,72.5,80
WAA/SPS,raw,3,4000,73.75,80
WAA/SPS,raw,4,4000,90.0,80
WAA/SPS,raw,5,4000,73.75,80
WAA/SPS,raw,6,4000,65.0,80
WAA/SPS,raw,7,4000,63.74999999999999,80
WAA/SPS,raw,8,4000,60.0,80
WAA/SPS,raw,9,4000,63.74999999999999,80
WAA/SPS,raw,10,4000,81.25,80
WAA/SPS,raw,11,4000,71.25,80
WAA/SPS,raw,12,4000,70.0,80
WAA/SPS,raw,13,4000,66.25,80
WAA/SPS,raw,14,4000,72.5,80
WAA/SPS,raw,15,4000,73.75,80
WAA/SPS,raw,16,4000,55.00000000000001,80
WAA/SPS,raw,17,4000,65.0,80
WAA/SPS,raw,18,4000,82.5,80
